id ,question_text,display_text,key,"options (format: “{a,b}”)",is_featured (True/False),question_type (1/2/3/4/5/6/7 check assessments_questiontype),status (AC/IA),max_score,pass_score,name in local language,options in local language
,Student full name (Enter from school register),,,,,4,AC,,,,
,Male/Female,,,"{M,F}",,1,AC,,,,
,Age,,,,,3,AC,,,,
,Grade,,,,,4,AC,,,,
,Roll No,,,,,4,AC,,,,
,Reading assessment Test 1,,,"{1,2,3,4,5}",,1,AC,,,,
,Reading assessment Test 2,,,"{1,2,3,4,5}",,1,AC,,,,
,Listening Comprehension Test 1,,,"{1,2,3,4,5}",,1,AC,,,,
,Listening Comprehension Test 2,,,"{1,2,3,4,5}",,1,AC,,,,
,Listening Comprehension Test 2 (Q 5a),,,,,4,AC,,,,
,Listening Comprehension Test 2 (Q 5b),,,,,4,AC,,,,
,Listening Comprehension Test 2 (Q 5c),,,,,4,AC,,,,
,Listening Comprehension Test 2 (Q 5d),,,,,4,AC,,,,
