id|question text|display text|key|options|is featured|type|status|max_score|pass_score|lang_name|options in lang|concept|microconcept group|microconcept|Level|Learning Indicator
130||||||||||||||||
291||||||||||||||||
|Number Sense- Oral number name association|Number Sense- Oral number name association|Number Sense|"{1,0}"|True|2|AC|1|1|ಸಂಖ್ಯೆಗಳು - ಓದುವುದು ಮತ್ತು ಬರೆಯುವುದು|"{1,0}"|number_sense|numbers|oral_number_name_association|beginner|knowledge
|Number Patterns - Odd Number and Even Numbers|Number Patterns - Odd Number and Even Numbers|Number Sense|"{1,0}"|True|2|AC|1|1|ಸಂಖ್ಯಾ ವಿನ್ಯಾಸ - ಬೆಸ ಸಮ ಸಂಖ್ಯೆಗಳು|"{1,0}"|number_sense|number_patterns|odd_number_and_even_numbers|beginner|knowledge
|Number Place Value - Identify place value for a given number|Number Place Value - Identify place value for a given number|Number Sense|"{1,0}"|True|2|AC|1|1| ಸ್ಥಾನ ಬೆಲೆ - ದತ್ತ ಸಂಖ್ಯೆಯ ಸ್ಥಾನಬೆಲೆ ಗುರುತಿಸುವುದು|"{1,0}"|number_sense|place_value|identify_place_value_for_a_given_number|beginner|understanding
|Number Sequence - Before and After|Number Sequence - Before and After|Number Sense|"{1,0}"|True|2|AC|1|1|ಅನುಕ್ರಮ ಸಂಖ್ಯೆ-ಹಿಂದಿನ ಮತ್ತು ಮುಂದಿನ|"{1,0}"|number_sense|sequence|before_and_after|beginner|knowledge
|Number Sequence-Arranging in Ascending or Descending order|Number Sequence-Arranging in Ascending or Descending order|Number Sense|"{1,0}"|True|2|AC|1|1|ಅನುಕ್ರಮ ಸಂಖ್ಯೆ - ಸಂಖ್ಯೆಗಳನ್ನು ಏರಿಕೆ/ಇಳಿಕೆ ರೂಪದಲ್ಲಿ ನಮೂದಿಸುವುದು|"{1,0}"|number_sense|sequence|arranging_in_ascending_or_descending_order|beginner|knowledge
|Number Operations - Addition without Carry (Abstract)|Number Operations - Addition without Carry (Abstract)|Number Operations|"{1,0}"|True|2|AC|1|1|ಸಂಕಲನ- ದಶಕ ರಹಿತ ಸಂಕಲನ (ಅಮೂರ್ತ )|"{1,0}"|number_operations|addition|addition_without_carry(abstract)|beginner|understanding
|Number Operations - Addition with Carry (Abstract)|Number Operations - Addition with Carry (Abstract)|Number Operations|"{1,0}"|True|2|AC|1|1|ಸಂಕಲನ - ದಶಕ ಸಹಿತ ಸಂಕಲನ (ಅಮೂರ್ತ )|"{1,0}"|number_operations|addition|addition_with_carry(abstract)|beginner|understanding
|Number Operations - Subtraction without Borrow (Abstratct)|Number Operations - Subtraction without Borrow (Abstratct)|Number Operations|"{1,0}"|True|2|AC|1|1|ವ್ಯವಕಲನ - ದಶಕ ರಹಿತ ವ್ಯವಕಲನ (ಅಮೂರ್ತ )|"{1,0}"|number_operations|subtraction|subtraction_without_borrow(abstract)|beginner|understanding
