id|question text|display text|key|options|is featured|type|status|max_score|pass_score|lang_name|options in lang|concept|microconcept group|microconcept|Level|Learning Indicator
130||||||||||||||||
291||||||||||||||||
|Number Patterns - Odd Number and Even Numbers|Number Patterns - Odd Number and Even Numbers|Number Sense|{1,0}|True|2|AC|1|1||{1,0}|number_sense|number_patterns|odd_number_and_even_numbers|beginner|understanding
|Number Patterns - Observes and extends patterns in sequence of numbers.|Number Patterns - Observes and extends patterns in sequence of numbers.|Number Sense|{1,0}|True|2|AC|1|1||{1,0}|number_sense|number_patterns|observes_and_extends_patterns_in_sequence_of_numbers|beginner|understanding
|Number Operations - Addition without Carry (Abstract)|Number Operations - Addition without Carry (Abstract)|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|addition|addition_without_carry(abstract)|beginner|understanding
|Number Operations - Addition with Carry (Abstract)|Number Operations - Addition with Carry (Abstract)|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|addition|addition_with_carry(abstract)|beginner|understanding
|Number Operations - Subtraction without Borrow (Abstract)|Number Operations - Subtraction without Borrow (Abstract)|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|subtraction|subtraction_without_borrow(abstract)|beginner|understanding
|Number Operations - Subtraction with Borrow (Abstract)|Number Operations - Subtraction with Borrow (Abstract)|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|understanding
|Number Operations - Long Multiplication (Abstract)|Number Operations - Long Multiplication (Abstract)|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|multiplication|long_multiplication(abstract)|beginner|understanding
|Number Operations - Long Multiplication (Abstract)|Number Operations - Long Multiplication (Abstract)|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|multiplication|long_multiplication(abstract)|beginner|understanding
|Number Operations - Long Division without Remainder|Number Operations - Long Division without Remainder|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|division|long_division_without_remainder|beginner|understanding
|Number Operations - Long Division with Remainder|Number Operations - Long Division with Remainder|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|division|long_division_with_remainder|beginner|understanding
|Number Fractions - Greater Than, Equal to and lesser than with Fractional numbers|Number Fractions - Greater Than, Equal to and lesser than with Fractional numbers|Number Sense|{1,0}|True|2|AC|1|1||{1,0}|number_sense|fractions|greater_than,equal_to_and_lesser_than_with_fractional_numbers|beginner|skills
|Shapes - 3-D shapes attributes|Shapes - 3-D shapes attributes|Shapes|{1,0}|True|2|AC|1|1||{1,0}|shapes|solid_shapes|3d_shapes_attributes|beginner|application_or_analytical_skills
|Shapes - 3-D shapes and 2-D shapes relationship|Shapes - 3-D shapes and 2-D shapes relationship|Shapes|{1,0}|True|2|AC|1|1||{1,0}|shapes|solid_shapes|3d_shapes_and_2d_shapes_relationship|beginner|understanding
|Shapes - Flat Shapes - Measurement of Angles|Shapes - Flat Shapes - Measurement of Angles|Shapes|{1,0}|True|2|AC|1|1||{1,0}|shapes|flat_shapes|measurement_of_angles|beginner|knowledge
|Shapes - Flat Shapes - Measurement of Angles|Shapes - Flat Shapes - Measurement of Angles|Shapes|{1,0}|True|2|AC|1|1||{1,0}|shapes|flat_shapes|measurement_of_angles|beginner|application_or_analytical_skills
|Measurements - Time-Convert 24 hours to 12 hours and vice versa|Measurements - Time-Convert 24 hours to 12 hours and vice versa|Measurements|{1,0}|True|2|AC|1|1||{1,0}|measurements|time|convert_24_hours_to_12_hours_and_vice_versa|beginner|understanding
|Measurements - weight - Convert larger units to smaller units and vice versa - weight|Measurements - weight - Convert larger units to smaller units and vice versa - weight|Measurements|{1,0}|True|2|AC|1|1||{1,0}|measurements|weight|convert_larger_units_to_smaller_units_and_vice_versa_weight|beginner|understanding
|Number Operations - Addition - word problem|Number Operations - Addition - word problem|Number Operations|{1,0}|True|2|AC|1|1||{1,0}|number_operations|addition|addition_word_problem|beginner|application_or_analytical_skills
|Shapes Mensuration -Area|Shapes Mensuration -Area|Shapes|{1,0}|True|2|AC|1|1||{1,0}|shapes|mensuration|mensuration_area|beginner|application_or_analytical_skills
|Shapes Mensuration -Perimeter|Shapes Mensuration -Perimeter|Shapes|{1,0}|True|2|AC|1|1||{1,0}|shapes|mensuration|mensuration_perimeter|beginner|application_or_analytical_skills
