id,question text,display text,key,options,is featured,type,status,max_score,pass_score,lang_name,options in lang,concept,microconcept group,microconcept,Level,Learning Indicator
130,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,
,Number Sense- Oral number name association,Number Sense- Oral number name association,Number Sense,"{1,0}",True,2,AC,1,1,ಸಂಖ್ಯೆಗಳು - ಓದುವುದು ಮತ್ತು ಬರೆಯುವುದು,"{1,0}",number_sense,numbers,oral_number_name_association,beginner,knowledge
,Number Sequence - Missing number ,Number Sequence - Missing number ,Number Sense,"{1,0}",True,2,AC,1,1,,"{1,0}",number_sense,sequence,missing_number,beginner,understanding
,Number PlaceValue - Expansion form and Short form of numbers,Number PlaceValue - Expansion form and Short form of numbers,Place Value,"{1,0}",True,2,AC,1,1,,"{1,0}",number_sense,place_value,identify_place_value_for_a_given_number,beginner,knowledge
,Number Operations - Addition without Carry (Abstract),Number Operations - Addition without Carry (Abstract),Number Operations,"{1,0}",True,2,AC,1,1,ಸಂಕಲನ- ದಶಕ ರಹಿತ ಸಂಕಲನ (ಅಮೂರ್ತ ),"{1,0}",number_operations,addition,addition_without_carry(abstract),beginner,knowledge
,Number Operations - Addition with Carry (Abstract),Number Operations - Addition with Carry (Abstract),Number Operations,"{1,0}",True,2,AC,1,1,ಸಂಕಲನ - ದಶಕ ಸಹಿತ ಸಂಕಲನ (ಅಮೂರ್ತ ),"{1,0}",number_operations,addition,addition_with_carry(abstract),beginner,understanding
,Number Operations - Subtraction without Borrow (Abstratct),Number Operations - Subtraction without Borrow (Abstratct),Number Operations,"{1,0}",True,2,AC,1,1,ವ್ಯವಕಲನ - ದಶಕ ರಹಿತ ವ್ಯವಕಲನ (ಅಮೂರ್ತ ),"{1,0}",number_operations,subtraction,subtraction_without_borrow(abstract),beginner,knowledge
,Number Operations - Subtraction with Borrow (Abstract),Number Operations - Subtraction with Borrow (Abstract),Number Operations,"{1,0}",True,2,AC,1,1,ವ್ಯವಕಲನ - ದಶಕ ಸಹಿತ ವ್ಯವಕಲನ (ಅಮೂರ್ತ ),"{1,0}",number_operations,subtraction,subtraction_with_borrow(abstract),beginner,understanding
,Number Operations - Long Multiplication (Abstract),Number Operations - Long Multiplication (Abstract),Number Operations,"{1,0}",True,2,AC,1,1,ಗುಣಾಕಾರ - ಗುಣಾಕಾರ (ಅಮೂರ್ತ ),"{1,0}",number_operations,multiplication,long_multiplication(abstract),beginner,understanding
,Number Operations - Long Multiplication (Abstract),Number Operations - Long Multiplication (Abstract),Number Operations,"{1,0}",True,2,AC,1,1,ಗುಣಾಕಾರ - ಗುಣಾಕಾರ (ಅಮೂರ್ತ ),"{1,0}",number_operations,multiplication,long_multiplication(abstract),beginner,understanding
,Number Operations - Long Division without Remainder,Number Operations - Long Division without Remainder,Number Operations,"{1,0}",True,2,AC,1,1,ಭಾಗಾಕಾರ - ಶೇಷ ರಹಿತ ಭಾಗಾಕಾರ,"{1,0}",number_operations,division,long_division_without_remainder,beginner,knowledge
,Number Operations - Long Division with Remainder,Number Operations - Long Division with Remainder,Number Operations,"{1,0}",True,2,AC,1,1,ಭಾಗಾಕಾರ - ಶೇಷ ಸಹಿತ ಭಾಗಾಕಾರ,"{1,0}",number_operations,division,long_division_with_remainder,beginner,understanding
,Number Fractions - Fractions using pictures,Number Fractions - Fractions using pictures,Number Sense,"{1,0}",True,2,AC,1,1,,"{1,0}",number_sense,fractions,fractions_using_pictures,intermediate,application_or_analytical_skills
,Shapes - Identify 2-D shapes (pictures),Shapes - Identify 2-D shapes (pictures),Shapes,"{1,0}",True,2,AC,1,1,ಆಕಾರಗಳು -2 ಆಯಾಮದ ಆಕಾರಗಳು - 2ಆಯಾಮದ ಆಕೃತಿಯನ್ನು ಗುರುತಿಸುವುದು,"{1,0}",shapes,flat_shapes,identify_2d_shapes(pictures),beginner,knowledge
,Measurements - Time - Word Problem - ,Measurements - Time - Word Problem ,measurements,"{1,0}",True,2,AC,1,1,ಅಳತೆಗಳು - ಸಮಯ -ವಾಕ್ಯರೂಪದ ಪ್ರಶ್ನೆಗಳು,"{1,0}",measurements,time,word_problem_measurements_time,intermediate,application_or_analytical_skills
,Measurements - Money - Word Problem ,Measurements - Money - Word Problem,measurements,"{1,0}",True,2,AC,1,1,,"{1,0}",measurements,money,word_problem_measurements_money,intermediate,application_or_analytical_skills
