id|question_text|display_text|key |options|is_featured|question type|status|max score|pass score|name in colloquial language|options in language|concept| microconceptgroup|microconcept|level|learning indicator
|Number of Students|Number of Students|||False|1|AC||||||||||
|Number concept(Identication of 3-digit number)|Number concept(Identication of 3-digit number)|Number concept||True|1|AC|||||number_sense|numbers|oral_number_name_association|beginner||
|Number concept(Simple form of the given expansion form of 2-digit number)|Number concept(Simple form of the given expansion form of 2-digit number)|Number concept||True|1|AC|||||number_sense|place_value|expansion_form_and_short_form_of_numbers|beginner||
|Number concept(Place values of 3-digit number)|Number concept(Place values of 3-digit number)|Number concept||True|1|AC|||||number_sense|place_value|identify_place_value_for_a_given_number|beginner||
|Addition(Sum of two 3- digit numbers)|Addition(Sum of two 3- digit numbers)|Addition||True|1|AC|||||number_operations|addition|addition_without_carry(abstract)|beginner||
|Subtraction(Difference of two 3-digit numbers)|Subtraction(Difference of two 3-digit numbers)|Subtraction||True|1|AC|||||number_operations|subtraction|subtraction_without_borrow(abstract)|beginner||
|Multiplication(Multiplying 2-digit number by 1-digit number)|Multiplication(Multiplying 2-digit number by 1-digit number)|Multiplication||True|1|AC|||||number_operations|multiplication|long_multiplication(abstract)|beginner||
|Patterns of Geometrical shapes|Patterns of Geometrical shapes|Patterns||True|1|AC|||||shapes|patterns_in_shapes|observes_and_extends_patterns_in_sequence_of_shapes|beginner||
|Time (Days in a week)|Time (Days in a week)|Time||True|1|AC|||||measurements|time|days_of_the_week|beginner||
|Addition (Word problems)|Addition (Word problems)|Addition||True|1|AC|||||number_operations|addition|addition_word_problem|beginner||
|Time (Identification of time in clock (in hours))|Time (Identification of time in clock (in hours))|Time||True|1|AC|||||measurements|time|read_time|beginner||
