id,question_text,display_text,key ,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
,Select the type of school you visited,Select the type of school you visited,School Type,"{LPS,HPS}",True,1,AC,,,તમે કેવા પ્રકારની શાળાની મુલાકાત લીધી હતી,"{પ્રાથમિક શાળા, માધ્યમિકશાળા}"
,School has a NCERT math kit ?,Does the school have a NCERT math kit ?,GKA Math Kit,"{Yes,No}",True,1,AC,,,શાળામાં ગણિત માટે NCERTકીટ છે,"{હા,ના}"
,Does the school need additional NCERT math kit?,Does the school need additional NCERT math kit?,GKA MAth Kit,"{Yes,No}",True,1,AC,,,શાળાને  ગણિત  માટે વધારાની  NCERT કીટની જરૂર છે,"{હા,ના}"
,Was the kit opened in this school ?,Was the kit opened in this school ?,GKA MAth Kit,"{Yes,No}",True,1,AC,,,શું આ શાળામાં કીટ ખોલવામાં આવી હતી?,"{હા,ના}"
,Is the SDMC functional for this school ?,Is the SDMC functional for this school ?,SDMC Meet,"{Yes,No}",True,1,AC,,,શું SDMC આ શાળા માટે કાર્યરત છે?,"{હા,ના}"
,Did this school participate in the GP contest ?,Did this school participate in the GP contest ?,Gp Contest,"{Yes,No}",True,1,AC,,,શું આ શાળાએ GP contest માં ભાગ લીધો હતો?,"{હા,ના}"
,Was the GP contest held in this school ?,Was the GP contest held in this school ?,GP Contest,"{Yes,No}",True,1,AC,,,શું આ શાળામાં GP contest યોજાઇ હતી?,"{હા,ના}"
,Does this school have a 1-3-6-9 wall writing ?,Does this school have a 1-3-6-9 wall writing ?,GKA,"{Yes,No}",True,1,AC,,,"શું આ શાળામાં ""1369 "" ના ખ્યાલનુ દિવાલ પર લેખન છે?","{હા,ના}"
,Is the 4th and 5th grade taught in two different classrooms ?,Is the 4th and 5th grade taught in two different classrooms ?,Academic,"{Yes,No}",True,1,AC,,,શું ધોરણ-૧ અને  ધોરણ- ૨ બંને જુદા જુદા વર્ગખંડમાં ભણાવવામાં આવે છે?,"{હા,ના}"
,"Are any other NGOs working in this school ? If yes, write it in the comment section","Are any other NGOs working in this school ? If yes, write it in the comment section",GKA,"{Yes,No}",True,1,AC,,,"આ શાળામાં કોઈ અન્ય  NGOs કાર્યરત છે? જો હા, તો તે ટિપ્પણીમાં લખો","{હા,ના}"
,Is there an Education Volunteer identified for this school or Village ?,Is there an Education Volunteer identified for this school or Village ?,GKA,"{Yes,No}",True,1,AC,,,શું કોઈ શૈક્ષણિક સ્વયંસેવક આ શાળા અથવા ગામ સાથે સંકળાયેલ છે?,"{હા,ના}"
,What is the Teacher's teaching experience ?,What is the Teacher's teaching experience ?,Teaching,"{Less than 3 years,Between 3 to 10 years,More than 10 years}",True,2,AC,,,શિક્ષકનો ભણાવવાનો અનુભવ,"{3 વર્ષથી ઓછો,3 થી ૧0 વર્ષ વચ્ચે,૧0 વર્ષથી વધુ}"
,What is education qualification of the teacher ?,What is education qualification of the teacher ?,Teaching,"{B.A,B.Sc,B.COM,TCH,10th,B.Ed,M.Sc,MA,M.Com}",True,2,AC,,,શિક્ષકની શૈક્ષણિક લાયકાત શું છે,"{B.A, B.Sc, B.COM, TCH, 10th, B. Ed M. Sc, MA, M Com}"
,Gender of the teacher ?,Gender of the teacher ?,Teaching,"{Male,Female}",True,1,AC,,,શિક્ષકની જાતિ,"{પુરુષ , સ્ત્રી}"
,Which other grades is the math teacher teaching ?,Which other grades is the math teacher teaching ?,Teaching,"{1,2,3,4,5,6,7,8,multi-grade}",True,2,AC,,,ગણિતના શિક્ષક કયા બીજા ધોરણ ભણાવી રહ્યા છે?,"{૧ ,૨,૩, ૪,૫,૬,૭,૮ ,મલ્ટિ-ગ્રેડ}"
,For which Grades is the teacher using the NCERT Kit ?,For which Grades is the teacher using the NCERT Kit ?,Teaching,"{1,2,3,4,5,6,7,8,multi-grade}",True,2,AC,,,શિક્ષક કયા-કયા ધોરણ માટે NCERT  કીટનો ઉપયોગ કરે છે?,"{૧ ,૨,૩, ૪,૫,૬,૭,૮ ,મલ્ટિ-ગ્રેડ}"
