id,question_text,display_text,key,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
649,What is the code of gp where gp contest was held ?,What is the code of gp where gp contest was held ?,Gp-code,"{}",True,2,AC,,,ಗಾಮ ಪಂಚಾಯತಿ ಕೋಡ್,
650,When was the gp contest held ?,When was the gp contest held ?,Contest date,"{}",True,1,AC,,,ಸ್ಪರ್ಧೆ ನಡೆದ ದಿನಾಂಕ,
651,How many schools participated in the GP contest ?,How many schools participated in the GP contest ?,Count of GP,"{}",True,2,AC,,,ಒಟ್ಟೂ ಎಷ್ಟು ಶಾಲೆಗಳು ಭಾಗವಹಿಸಿದವು?,
652,How many parents were present (including SDMC) ?,How many parents were present (including SDMC) ?,Count of parents,"{}",True,2,AC,,,ಒಟ್ಟೂ ಎಷ್ಟು ಪೋಷಕರು ಭಾಗವಹಿಸಿದವು?,
653,How many children participated ?,How many children participated ?,Count of children,"{}",True,2,AC,,,ಒಟ್ಟೂ ಎಷ್ಟು ಮಕ್ಕಳು ಭಾಗವಹಿಸಿದರು?,
654,How many Education officers were present "{BEO, CRP, EO, DDPI, DIET etc}" ?,How many Education officers were present "{BEO, CRP, EO, DDPI, DIET etc}" ?,Count of Govt official,"{}",True,2,AC,,,ಶಿಕ್ಷಣ ಇಲಾಖೆಯಿಂದ ಎಷ್ಟು ಜನ ಹಾಜರಿದ್ದರು? (BEO, CRP, EO, DDPI, DIET etc),
655,How many GP Members/President were present?,How many GP Members/President were present ?,Count of Gp members,"{}",True,2,AC,,,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಇಂದ ಎಷ್ಟು ಮಂದಿ ಭಾಗವಹಿಸಿದರು?,
656,Was there any official circular/letter issued by GP/CEO/DDPI/BEO to conduct GP Contest ?,Was there any official circular/letter issued by GP/CEO/DDPI/BEO to conduct GP Contest ?,"{Yes,No}",True,1,AC,,,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಗಣಿತ ಸ್ಪರ್ಧೆ ನಡೆಸಲು ಮೇಲಧಿಕಾರಿಯಿಂದ (BEO/CEO/DDPI/DIET/GP) ಸುತ್ತೋಲೆ, ಆದೇಶ ಹೊರಡಿಸಲಾಗಿತ್ತೆ ?,"{ಹೌದು,ಇಲ್ಲ}"
657,How many education volunteers helped ?,How many education volunteers helped ?,Count of Education Volunteers,"{}",True,2,AC,,,ಎಷ್ಟು ಶಿಕ್ಷಣ ಸ್ವಯಂಸೇವಕರು ಸಹಾಯ ಮಾಡಿದರು?,
658,What was the total prize money ?,Total prize money,Prize money,"{}",True,2,AC,,,ಒಟ್ಟೂ ಬಹುಮಾನದ ಮೊತ್ತ,
659,How much did you spend on Tea/Biscuits ?,Tea/Biscuits expenditure,Expense,"{}",True,2,AC,,,ಚಹಾ ಪಾನೀಯ ಖರ್ಚು,
660,How much did you spend on meals for children and attendees ?,Meals for children and attendees expenditure,Expense,"{}",True,2,AC,,,ಊಟದ ಖರ್ಚು,
661,How much did you spend on tent and chairs ?,Tent and chairs expenditure,Expense,"{}",True,2,AC,,,ಟೆಂಟ್ ಮತ್ತು ಕುರ್ಚಿಯ ಖರ್ಚು,
662,How much did you spend on travelling of children ?,Travel cost of children,Expense,"{}",True,2,AC,,,ಪ್ರಯಾಣದ ವೆಚ್ಚ,
663,How much did you spend on TA/DA of volunteers ?,Volunteers TA/DA expenditure,Expense,"{}",True,2,AC,,,ಶಿಕ್ಷಣ ಸ್ವಯಂಸೇವಕರ TA/DA,
664,How much did you spend on advertisement(banner etc) ?,Advertisement (Banner etc) expenditure,Expense,"{}",True,2,AC,,,ಜಾಹೀರಾತು ವೆಚ್ಚ,
665,How much did you spend on auto/tom-tom ?,Auto/Tom-tom expenditure,Expense,"{}",True,2,AC,,,ಆಟೋ ಟಾಮ್ ಟಾಮ್ ವೆಚ್ಚ,
666,How much did you spend on labour ?,Labour charges,Expense,"{}",True,2,AC,,,ಕೂಲಿ ವೆಚ್ಚ,
