id,question_text,display_text,key ,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
,What kind of school did you visit ?,Select the type of school you visited ?,School Type,"{LPS,HPS}",True,1,AC,,,ನೀವು ಯಾವ ರೀತಿಯ ಶಾಲೆ ಭೇಟಿ ನೀಡಿದ್ಧೀರಿ ?,"{ಕಿ.ಪ್ರಾ ,ಹಿ.ಪ್ರಾ}"
,School has a GKA math kit ?,School has a GKA math kit ?,GKA Math Kit,"{Yes,No}",True,1,AC,,,ಶಾಲೆಯಲ್ಲಿ GKA ಕಿಟ್ ಇದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,School needs additional GKA math kit ?,Does the school need additional GKA math kit ?,GKA MAth Kit,"{Yes,No}",True,1,AC,,,ಹೆಚ್ಚುವರಿ GKA ಕಿಟ್ ಅಗತ್ಯವಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Was the kit opened in this school ?,Was the kit opened in this school ?,GKA MAth Kit,"{Yes,No}",True,1,AC,,,ಶಾಲೆಯವರು GKA ಕಿಟ್ ತೆರೆದು ನೋಡಿದ್ಧಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Is the SDMC functional for this school ?,Is the SDMC functional for this school ?,SDMC Meet,"{Yes,No}",True,1,AC,,,ಶಾಲೆಯಲ್ಲಿ SDMC ಕಾರ್ಯ ನಿರತವಾಗಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Did this school participate in the GP contest ?,Did this school participate in the GP contest ?,Gp Contest,"{Yes,No}",True,1,AC,,,ಈ ಶಾಲೆಯು ಗ್ರಾಮ ಪಂಚಾಯತಿ ಸ್ಪರ್ಧೆಯಲ್ಲಿ ಭಾಗವಹಿಸಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Was the GP contest held in this school ?,Was the GP contest held in this school ?,GP Contest,"{Yes,No}",True,1,AC,,,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಸ್ಪರ್ಧೆ ಇದೇ ಶಾಲೆಯಲ್ಲಿ ನೆಡೆಯಿತೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Does this school have a 1369 wall writing ?,Does this school have a 1369 wall writing ?,GKA,"{Yes,No}",True,1,AC,,,ಈ ಶಾಲೆಯಲ್ಲಿ 1-3-6-9 ಗೋಡೆ ಬರಹ ಇದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Is the 4th and 5th grade taught in two different classrooms ?,Is the 4th and 5th grade taught in two different classrooms ?,Academic,"{Yes,No}",True,1,AC,,,4 ಮತ್ತು 5ನೇ ತರಗತಿಯು ಬೇರೆ ಬೇರೆ ಕೋಣೆಯಲ್ಲಿ ನಡೆಯುತಿತ್ತೆ ?,"{ಹೌದು,ಇಲ್ಲ}"
,"Are any other NGOs working in this school ? If yes, write it in the comment section","Are any other NGOs working in this school ? If yes, write it in the comment section",GKA,"{Yes,No}",True,1,AC,,,"ಈ ಶಾಲೆಯಲ್ಲಿ ಬೇರೆ NGO ಸಿಬ್ಬಂದಿಗಳು ಕಾರ್ಯ ನಿರ್ವಹಿಸುತ್ತಿದ್ದಾರೆಯ ? ಹೌದು ಎಂದಲ್ಲಿ, ಕಾಮೆಂಟ್ಸ್ ವಿಭಾಗದಲ್ಲಿ ಅದರ ಬಗ್ಗೆ ಬರೆಯಿರಿ","{ಹೌದು,ಇಲ್ಲ}"
,Is there an Education Volunteer identified for this school or village ?,Is there an Education Volunteer identified for this school or Village ?,GKA,"{Yes,No}",True,1,AC,,,ಈ ಶಾಲೆಗೆ ಶೈಕ್ಷಣಿಕ ಸ್ವಯಂ ಸೇವಕರು ನೇಮಕಾತಿ ಗೊಂಡಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Teacher teaching experience ?,"What is the Teacher's teaching experience ?",Teaching,"{Less than 3 years,Between 3 to 10 years,More than 10 years}",True,2,AC,,,ಶಿಕ್ಷಕರ ಕಲಿಕಾ ಅನುಭವ ?,"{3 ವರ್ಷಕ್ಕಿಂತ ಕಡಿಮೆ,3 ರಿಂದ 10 ವರ್ಷ,10 ವರ್ಷಕ್ಕಿಂತ ಹೆಚ್ಚು}"
,What is education qualification of the teacher ?,What is education qualification of the teacher ?,Teaching,"{B.A,B.Sc,B.COM,TCH,10th,B.Ed,M.Sc,MA,M.Com}",True,2,AC,,,ಶಿಕ್ಷಕರ ವಿದ್ಯಾರ್ಹತೆ ?,"{ಬಿ.ಎ,ಬಿ.ಎಸ್.ಸಿ,ಬಿ.ಕಾಂ,ಟಿ.ಸಿ.ಹೆಚ್,ಎಸ್.ಎಸ್.ಎಲ್.ಸಿ,ಬಿ.ಎಡ್,ಎಂ.ಎಸ್.ಸಿ,ಎಂ.ಎ,ಎಂ.ಕಾಂ}"
,Gender of the teacher ?,Gender of the teacher ?,Teaching,"{Male,Female}",True,1,AC,,,ಶಿಕ್ಷಕರ ಲಿಂಗ ?,"{ಗಂಡು,ಹೆಣ್ಣು}"
,Which other grades is the math teacher teaching ?,Which other grades is the math teacher teaching ?,Teaching,"{1,2,3,4,5,6,7,8,multi-grade}",True,2,AC,,,ಗಣಿತ ಶಿಕ್ಷಕರು ಬೇರೆ ಯಾವ ತರಗತಿಗೆ ಕಲಿಸುತ್ತಾರೆ ?,"{1,2,3,4,5,6,7,8,ಬಹುವರ್ಗ}"
,For which Grades is the teacher using the GKA Kit ?,For which Grades is the teacher using the GKA Kit ?,Teaching,"{1,2,3,4,5,6,7,8,multi-grade}",True,2,AC,,,ಗಣಿತ ಕಿಟ್ ಯಾವ ತರಗತಿಗೆ ಬಳಸುತ್ತಿದ್ದಾರೆ ?,"{1,2,3,4,5,6,7,8,ಬಹುವರ್ಗ}"
,How many teachers were there in this school for the Primary classes (excluding HM)?,How many teachers were there in this school for the Primary classes (excluding HM) ?,Teaching,"{One,Two,Three,More than three}",True,1,AC,,,ಈ ಶಾಲೆಯಲ್ಲಿ ಮುಖ್ಯೋಪಾದ್ಯಾಯರನ್ನು ಹೊರತುಪಡಿಸಿ ಎಷ್ಟು ಶಿಕ್ಷಕರಿದ್ದಾರೆ ?,"{ಒಂದು,ಎರಡು,ಮೂರು,ಮೂರಕ್ಕಿಂತ ಹೆಚ್ಚು}"
,Is Math subject being taught by two different teachers for grade 4 and 5 ?,Is Math subject being taught by two different teachers for grade 4 and 5 ?,Teaching,"{Yes,No}",True,1,AC,,,ಗಣಿತ ವಿಷಯವನ್ನು ಎರಡು ಶಿಕ್ಷಕರು ಕಲಿಸುತ್ತಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,Are all primary teachers of the school trained on GKA ?,Are all primary teachers of the school trained on GKA ?,Teaching,"{Yes,No}",True,1,AC,,,ಗಣಿತ ಕಲಿಸುವ ಎಲ್ಲ ಶಿಕ್ಷಕರಿಗೆ GKA ತರಬೇತಿಯಾಗಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
,"Is it a multi-grade classroom that teacher was teaching ? (class 3+4,class 4+5,class 5+6 so on)","Is it a multi-grade classroom that teacher was teaching? (class 3+4,class 4+5,class 5+6 so on)",Teaching,"{3+4,4+5,5+6,1+2+3+4}",True,1,AC,,,ಬಹುವರ್ಗ ಕಲಿಕೆ ಆಗಿದ್ದಲ್ಲಿ ಯಾವ ತರಗತಿಯನ್ನು ಒಟ್ಟು ಮಾಡಿದ್ದಾರೆ ?,"{3+4,4+5,5+6,1+2+3+4}"
