id,question_text,display_text,key ,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
,Is the CRC trained in ALP ?,Is the CRC trained in ALP ?,Training,"{Yes,No}",True,1,AC,,,CRC ને ALP ની તાલીમ આપવામાં આવેલ છે ?,"{હા,ના}"
,Is the Teacher trained in ALP ?,Is the Teacher trained in ALP ?,Training,"{Yes,No}",True,1,AC,,,શિક્ષક ને ALP માં તાલીમ આપવામાં આવેલ છે ?,"{હા,ના}"
,Is the ALP class happening ?,Is the ALP class happening ?,Alp Class Happening,"{Yes,No}",True,1,AC,,, શું ALP વર્ગ થઈ રહ્યા છે ?,"{હા,ના}"
,What is the duration of the ALP classroom ?,What is the duration of the ALP classroom ?,Duration,"{< 30 mins,30-45 mins,45-60 mins}",True,1,AC,,,ALP વર્ગખંડનો સમયગાળો શું છે ?,"{< 30 મિનિટ,30-45 મિનિટ,45-60 મિનિટ}"
,Total number of students present ?,Total number of students present ?,ivrss-group-work,"{between 70-100%,between 50-70%,< 50%}",True,1,AC,,,હાજર વિદ્યાર્થીઓની કુલ સંખ્યા ?,"{70-100% વચ્ચે,50-70% વચ્ચે,<50%}"
,Is the Teacher Manual available ?,Is the Teacher Manual available ?,Teacher Manual,"{Yes,No}",True,1,AC,,,શું શિક્ષક માર્ગદર્શિકા ઉપલબ્ધ છે ?,"{હા,ના}"
,Is the NCERT toolkit available ?,Is the NCERT toolkit available ?,NCERT Toolkit,"{Yes,No}",True,1,AC,,,શું NCERT ની ટૂલકિટ ઉપલબ્ધ છે ?,"{હા,ના}"
,Is the square ruled book available ?,Is the square ruled book available ?,Square Rule Book,"{Yes,No}",True,1,AC,,,ચોરસ ખાનાવાળી નોટબુક ઉપલબ્ધ છે ?,"{હા,ના}"
,Is the teacher referring to the manual to conduct the lesson for the day ?,Is the teacher referring to the manual to conduct the lesson for the day ?,Manual Reference,"{Yes,No}",True,1,AC,,,શું શિક્ષક જે - તે દિવસના પાઠ માટે માર્ગદર્શિકાનો ઉપયોગ કરે છે ?,"{હા,ના}"
,Is the teacher using the prescribed toolkit ?,Is the teacher using the prescribed toolkit ?,Toolkit Usage,"{Yes,No}",True,1,AC,,,શું શિક્ષક સૂચિત ટૂલકિટનો ઉપયોગ કરે છે ?,"{હા,ના}"
,Are the students using the square ruled book ?,Are the students using the square ruled book ?,Square Ruled Book Usage,"{Yes,No}",True,1,AC,,,શું વિદ્યાર્થીઓ ચોરસ ખાનાવાળી નોટબુક નો ઉપયોગ કરે છે ?,"{હા,ના}"
,Are groups formed as prescribed ?,Are groups formed as prescribed ?,Group Formed,"{Yes,No}",True,1,AC,,,શું સુચના મુજબ જૂથ  બનાવેલ છે ?,"{હા,ના}"
,Is the teacher providing specific comments/feedback to help clarify student misunderstanding during activities ?,Is the teacher providing specific comments/feedback to help clarify student misunderstanding during activities ?,Student Clarification,"{Yes,No}",True,1,AC,,,શું શિક્ષક પ્રવૃત્તિ દરમિયાન વિદ્યાર્થીની ગેરસમજને સ્પષ્ટ કરવામાં મદદ માટે ચોક્કસ ટિપ્પણીઓ / પ્રતિસાદ પ્રદાન કરે છે ?,"{હા,ના}"
,Are the FAs happening every week in the classroom ?,Are the FAs happening every week in the classroom ?,FA Happening,"{Yes,No}",True,1,AC,,,શું દર અઠવાડિયે વર્ગોમાં યોજના અનુસાર કસોટી લેવાય છે ?,"{હા,ના}"
,Is the ALP student performance record book for numeracy up to date ?,Is the ALP student performance record book for numeracy up to date ?,Numeracy Record Book,"{Yes,No}",True,1,AC,,,શું ALP વિદ્યાર્થીનો પરિણામ- રેકોર્ડ અપ ટુ ડેટ છે ?,"{હા,ના}"
