DIST,PROJ,CIRCLE,SCODE,SNAME,START_DATE,END_DATE, Number of students enrolled(boys), Number of students enrolled(girl), Number of students present(boy), Number of students present(girl), Number of students with special needs(boy), Number of students with special needs(girl), Where is the center functioning, The anganwadi center is in a spacious room (35 sq according to ecce rule)  meaning there is an indoor enclosure, There is an outdoor space for 30 children  with space of 30sq, Anganwadi Centre walls are in good shape, Anganwadi Centre floor is in good shape, Anganwadi Centre roof is in good shape, There is a toilet for children to use, Children are using toilet, Centre has water available in the taps, There is pure drinking water facility, Food to be distributed on that day was covered properly, There is seperate facility for washing hands after meals, There is black board in the center, Learning materials are present in the centre, Anganwadi worker is trained, Activities are conducted using learning material by the anganwadi worker, Children learning value correction is done for 2013-14, Progress in children learning is documented, Bala Vikas Samithi is present, Bala Vikas Samithi meeting is conducted                                                                         
 bangalore, anekal taluk, attibele,38807, ABBANNA PALYA, 2014-08-18, 2015-12-30,11,7,8,6,0,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,30919, ADIGONDANAHALLI, 2014-08-18, 2015-12-30,6,10,6,10,0,0,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,29584, AHAREHALLI, 2014-08-18, 2015-12-30,7,10,7,10,0,0,2,1,1,1,1,0,1,0,1,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33657, AMBEDKAR NAGARA, 2014-08-18, 2015-12-30,8,11,8,11,0,0,1,0,0,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33576, ATTIBELE B, 2014-08-18, 2015-12-30,5,6,5,6,0,0,2,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,33573, ATTIBELE D, 2014-08-18, 2015-12-30,12,16,10,14, NA, NA,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,33952, ATTIBELE F BHUVANESHWARI NAGARA, 2014-08-18, 2015-12-30,9,9,9,9,0,0,1,0,0,1,1,1,1,1,0,2,1,0,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33951, ATTIBELE G SADASHIVANAGAR, 2014-08-18, 2015-12-30,7,5,7,5,0,0,1,1,0,1,1,1,1,1,1,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,37171, ATTIBELE H, 2014-08-18, 2015-12-30,9,15,9,15,0,0,1,0,0,1,1,1,1,1,0,2,1,1,0,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33957, ATTIBELE-A, 2014-08-18, 2015-12-30,11,10,11,10,0,0,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,33955, ATTIBELE-C, 2014-08-18, 2015-12-30,8,8,8,8,0,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33956, ATTIBELE-E, 2014-08-18, 2015-12-30,14,19,10,15,0,0,1,0,0,1,1,1,1,1,1,2,1,1,0,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,36364, BALAGARANAHALLI, 2014-08-18, 2015-12-30,21,11,18,10,0,0,2,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,37221, BALAGARANAHALLI B, 2014-08-18, 2015-12-30,16,18,12,14,0,0,3,1,1,1,1,1,0,0,0,2,1,0,1,1,0,1,0,0,1,1
 bangalore, anekal taluk, attibele,33617, BALAGARANAHALLI DINNE, 2014-08-18, 2015-12-30,10,8,10,8,0,0,1,0,0,1,1,1,0,0,0,2,1,0,1,1,1,1,0,0,1,1
 bangalore, anekal taluk, attibele,33658, BENDIGANAHALLI, 2014-08-18, 2015-12-30,12,1,10,1,0,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,0,0,1,1
