Academic Year|TO DELETE|District|Block|Cluster|GPName|GPId|SchoolName|DiseCode|Grade
2017-2018|Yes|yadagiri|shahapur|hayyal (b)|Hayyal (b)|2525|GOVT. HPS HAYYAL (B)|29330705801|Class 5 Assessment
2017-2018|Yes|yadagiri|shahapur|kurkunda|Kadamgera (b)|3165|GOVT. HPS KYATNAL|29330709201|Class 4 Assessment
2017-2018|Yes|yadagiri|shahapur|kurkunda|Kadamgera (b)|3165|GOVT. HPS KYATNAL|29330709201|Class 6 Assessment
2017-2018|Yes|yadagiri|shahapur|kurkunda|Kadamgera (b)|3165|GOVT. HPS KYATNAL|29330709201|Class 5 Assessment
2016-2017|Yes|yadagiri|shahapur|kannekolur|Kannekolur|3392|GOVT. HPS TOKAPUR|29330713401|Class 4 Assessment
2018-2019|Yes|yadagiri|shahapur|shirwal|Anabi|675|GOVT. HPS ANABI (RMSA)|29330700401|Class 4 Assessment
2017-2018|Yes|yadagiri|shahapur|gogi|Gogi (k)|2113|GOVT. HPS OLD GOGI|29330704001|Class 4 Assessment
2017-2018|Yes|yadagiri|shahapur|gogi|Gogi (k)|2113|GOVT. HPS OLD GOGI|29330704001|Class 5 Assessment
2017-2018|Yes|yadagiri|shahapur|naganatagi|Gogi (p)|2114|GOVT. HPS GIRLS GOGI|29330704003|Class 6 Assessment
2017-2018|Yes|yadagiri|shahapur|naganatagi|Gogi (p)|2114|GOVT. HPS GIRLS GOGI|29330704003|Class 5 Assessment
2016-2017|Yes|yadagiri|shahapur|wadagera|Wadagera|6009|GOVT. HPS AMBEDKAR NAGAR WADAGERA|29330714209|Class 5 Assessment
2017-2018|Yes|yadagiri|shahapur|wanadurga|Wanadurga|6019|GOVT. HPS WANADURGA|29330714301|Class 6 Assessment
2017-2018|Yes|yadagiri|shahapur|wanadurga|Wanadurga|6019|GOVT. HPS WANADURGA|29330714301|Class 5 Assessment
2017-2018|Yes|yadagiri|shahapur|maddarki|Maddarki|4086|GOVT. LPS AMBEDKAR NAGAR MADDARKI|29330709603|Class 5 Assessment
2016-2017|Yes|yadagiri|shorapur|kannelli|Kachaknoor|3140|GOVT HPS KACHKANOOR|29330810501|Class 4 Assessment
2016-2017|Yes|yadagiri|shorapur|kannelli|Kachaknoor|3140|GOVT HPS KACHKANOOR|29330810501|Class 5 Assessment
2017-2018|Yes|yadagiri|shorapur|devapur|Devapur|1786|GOVT LPS HARIJANWAD DEVAPUR|29330805102|Class 5 Assessment
2017-2018|Yes|yadagiri|shorapur|hunasagi|Malanoor|4161|GOVT HIGHER PRIMARY SCHOOL MALNOOR|29330815101|Class 6 Assessment
2016-2017|Yes|yadagiri|shorapur|mudanoor|Mudnoor (k)|4512|GOVT HPS MUDANOOR B|29330816101|Class 4 Assessment
2016-2017|Yes|yadagiri|shorapur|mudanoor|Mudnoor (k)|4512|GOVT HPS MUDANOOR B|29330816101|Class 6 Assessment
2016-2017|Yes|yadagiri|shorapur|mudanoor|Mudnoor (k)|4512|GOVT HPS MUDANOOR B|29330816101|Class 5 Assessment
2017-2018|Yes|yadagiri|shorapur|laxmipur|Hemnoor|2578|GOVT HPS HEMANOOR (RMSA)|29330808501|Class 4 Assessment
2017-2018|Yes|yadagiri|shorapur|maranal|Maranal|4296|GOVT HPS MARNAL|29330815701|Class 4 Assessment
2017-2018|Yes|yadagiri|shorapur|gundalgera|Kolihal|3701|GOVT HPS GONDALAGERA|29330807001|Class 5 Assessment
2016-2017|Yes|yadagiri|shorapur|kardakal|Hegganadoddi|2559|GOVT LPS GODRIHAL|29330823501|Class 4 Assessment
2017-2018|Yes|yadagiri|shorapur|devargonal|Devargonal|1806|GOVT HIGHER PRIMARY SCHOOL DEVARGONAL|29330805401|Class 4 Assessment
2017-2018|Yes|yadagiri|shorapur|devargonal|Badyapur|917|GOVT HPS MACHIGUNDAL|29330814101|Class 5 Assessment
2016-2017|Yes|yadagiri|shorapur|kodekal|Kodekal|3653|GOVT HPS KODEKAL|29330812301|Class 4 Assessment
2016-2017|Yes|yadagiri|shorapur|kodekal|Kodekal|3653|GOVT HPS KODEKAL|29330812301|Class 5 Assessment
2017-2018|Yes|yadagiri|shorapur|kodekal|Hagaratagi|2305|GOVT HPS HAGARATGI|29330807201|Class 4 Assessment
2016-2017|Yes|yadagiri|yadgir|yelheri|Kalebelgunda|3252|GOVT HPS KALEBELAGUNDI|29331005601|Class 5 Assessment
2018-2019|Yes|yadagiri|yadgir|anpur|Anapur|690|GOVT HPS ANAPUR|29331000301|Class 4 Assessment
2017-2018|Yes|raichur|manvi|harvi|Harvi|2497|GOVT.HIGHER PRIMARY SCHOOL HARAVI Upgraded RMSA|29060605601|Class 4 Assessment
2017-2018|Yes|raichur|manvi|kurdi|Aroli|807|GOVT.LOWER PRIMARY SCHOOL ADAVIKHANPUR|29060600101|Class 4 Assessment
2017-2018|Yes|raichur|manvi|kurdi|Aroli|807|GOVT.HIGHER PRIMARY SCHOOL AROLI|29060600701|Class 5 Assessment
2018-2019|Yes|raichur|manvi|utaknoor|Malladagudda|6168|GOVT.HIGHER PRIMARY SCHOOL MARAKAMDINNI Upgraded RMSA|29060610601|Class 6 Assessment
2018-2019|Yes|raichur|manvi|heera|Heera|2553|GOVT.HIGHER PRIMARY SCHOOL KASANADODDI|29060608901|Class 4 Assessment
2018-2019|Yes|raichur|manvi|heera|Heera|2553|GOVT.HIGHER PRIMARY SCHOOL KASANADODDI|29060608901|Class 6 Assessment
2018-2019|Yes|raichur|manvi|heera|Heera|2553|GOVT.HIGHER PRIMARY SCHOOL KASANADODDI|29060608901|Class 5 Assessment
2018-2019|Yes|raichur|manvi|heera|Heera|2553|GOVT.HIGHER PRIMARY SCHOOL CHINCHARAKI|29060603401|Class 4 Assessment
2018-2019|Yes|raichur|manvi|heera|Heera|2553|GOVT.HIGHER PRIMARY SCHOOL CHINCHARAKI|29060603401|Class 5 Assessment
2018-2019|Yes|raichur|manvi|heera|Heera|2553|GOVT.HIGHER PRIMARY SCHOOL HEERA|29060605701|Class 6 Assessment
2018-2019|Yes|raichur|manvi|heera|Heera|2553|GOVT.HIGHER PRIMARY SCHOOL HUDA|29060606701|Class 5 Assessment
2016-2017|Yes|raichur|manvi|bagalwada|Nakkunda|4684|GOVT.HIGHER PRIMARY SCHOOL NAKKUNDA|29060611201|Class 4 Assessment
2018-2019|Yes|raichur|manvi|bagalwada|Bagalwada|920|GOVT HIGHER  PRIMARY SCHOOL SCHOOL BAGALWADA|29060601006|Class 6 Assessment
2017-2018|Yes|raichur|manvi|bagalwada|Byagavat|1431|GOVT.LOWER PRIMARY SCHOOL AMBDKER NAGAR BAYGWAT|29060602505|Class 5 Assessment
2018-2019|Yes|raichur|manvi|sirwar  east|Navalkal|4763|GOVT.HIGHER PRIMARY SCHOOL NAVALAKAL|29060611701|Class 4 Assessment
2018-2019|Yes|raichur|manvi|sirwar  east|Navalkal|4763|GOVT.HIGHER PRIMARY SCHOOL NAVALAKAL|29060611701|Class 6 Assessment
2016-2017|Yes|raichur|manvi|sangapur|Janekal|3044|GULOWER PRIMARY SCHOOL GAVIGAT|29060604301|Class 6 Assessment
2018-2019|Yes|raichur|manvi|sangapur|K.gudadinni|3120|GOVT UPGRADED HIGHER PRIMARY SCHOOL GUDADINNI.K|29060604801|Class 4 Assessment
2016-2017|Yes|raichur|manvi|sangapur|K.gudadinni|3120|GOVT UPGRADED HIGHER PRIMARY SCHOOL GUDADINNI.K|29060604801|Class 6 Assessment
2016-2017|Yes|raichur|manvi|sangapur|K.gudadinni|3120|GOVT UPGRADED HIGHER PRIMARY SCHOOL GUDADINNI.K|29060604801|Class 5 Assessment
2016-2017|Yes|raichur|manvi|potnal|Chikkakotnekal|1584|GOVT.HIGHER PRIMARY SCHOOL CHIKKAKOTNEKAL|29060603101|Class 4 Assessment
2016-2017|Yes|raichur|manvi|potnal|Chikkakotnekal|1584|GOVT.HIGHER PRIMARY SCHOOL CHIKKAKOTNEKAL|29060603101|Class 5 Assessment
2016-2017|Yes|raichur|manvi|potnal|Chikkakotnekal|1584|GOVT.HIGHER PRIMARY SCHOOL UMALI HOSUR|29060614901|Class 4 Assessment
2016-2017|Yes|raichur|manvi|potnal|Chikkakotnekal|1584|GOVT.HIGHER PRIMARY SCHOOL UMALI HOSUR|29060614901|Class 6 Assessment
2016-2017|Yes|raichur|manvi|manvi rural|Madallpur|4065|GOVT.LOWER PRIMARY SCHOOL JANATHACOLONY CHIKALAPARA|29060602703|Class 4 Assessment
2016-2017|Yes|raichur|manvi|manvi rural|Bhoghavati|1296|GOVT.HIGHER PRIMARY SCHOOL MUSTUR|29060611001|Class 6 Assessment
2016-2017|Yes|raichur|manvi|manvi rural|Bhoghavati|1296|GOVT.HIGHER PRIMARY SCHOOL MUSTUR|29060611001|Class 5 Assessment
2016-2017|Yes|raichur|manvi|manvi rural|Madallpur|4065|GOVT.HIGHER PRIMARY SCHOOL KATHARAKI|29060609001|Class 4 Assessment
2016-2017|Yes|raichur|manvi|manvi rural|Madallpur|4065|GOVT.HIGHER PRIMARY SCHOOL KATHARAKI|29060609001|Class 6 Assessment
2018-2019|Yes|raichur|manvi|pamanakallur|Pamanakallur|4945|MLOWER PRIMARY SCHOOL M.L..A. SCHOOL PAMANAKALLUR|29060612108|Class 6 Assessment
2018-2019|Yes|raichur|manvi|pamanakallur|Ameenagada|659|GOVT LOWER PRIMARY SCHOOL AMEENGAD|29060600402|Class 4 Assessment
2016-2017|Yes|raichur|manvi|kavithal|Hirehanagi|2635|GOVT.HIGHER PRIMARY SCHOOL HIREHANAGI|29060605901|Class 5 Assessment
2017-2018|Yes|raichur|lingasugur|maraladinni|Adavibhavi tanda|519|GOVT.HIGHER PRIMARY SCHOOL ADAVIBHAVI TANDA Upgraded RMSA|29060500202|Class 6 Assessment
2017-2018|Yes|raichur|lingasugur|kalapur|Kalapur|3242|GOVT.HIGHER PRIMARY SCHOOL KALAPUR|29060509701|Class 6 Assessment
2017-2018|Yes|raichur|lingasugur|amdihal|Amadihal|638|GOVT.HIGHER PRIMARY SCHOOL AMADIHAL|29060500601|Class 6 Assessment
2017-2018|Yes|raichur|lingasugur|veerapur|Gejjagatta|2082|GOVT.HIGHER PRIMARY SCHOOL NILOGAL|29060514101|Class 5 Assessment
2016-2017|Yes|raichur|lingasugur|veerapur|Gejjagatta|2082|GOVT.HIGHER PRIMARY SCHOOL NILOGAL|29060514101|Class 4 Assessment
2018-2019|Yes|raichur|raichur|tuntapur|Mittimalkapur|4454|GOVT.LOWER PRIMARY SCHOOL MITTIMALKAPUR|29060710101|Class 4 Assessment
2017-2018|Yes|raichur|sindhanur|albanur|Alabanur|585|GOVT.HIGHER PRIMARY SCHOOL BELAGURKI|29060801301|Class 4 Assessment
2016-2017|Yes|ballari|hagaribommanahalli|kogali|Alabooru|586|GHPS  ALABURU|29120300501|Class 4 Assessment
2018-2019|Yes|ballari|siruguppa|raravi|Raravi|5101|GHPS RARAVI|29120806301|Class 4 Assessment
2017-2018|Yes|ballari|siruguppa|siruguppa, 5th ward|Desanooru|1763|GHPS DESHANUR|29120802001|Class 6 Assessment
2017-2018|Yes|ballari|siruguppa|nadanga|B.m.suguru|877|GHPS    NADANGA|29120805901|Class 6 Assessment
2017-2018|Yes|ballari|siruguppa|darur|Byrapur|1453|GHPS & GHS BHYRAPURA|29120801501|Class 4 Assessment
2017-2018|Yes|ballari|siruguppa|darur|Sanavasapura|5194|GHPS SANAVASAPUR|29120806601|Class 4 Assessment
2017-2018|Yes|ballari|siruguppa|darur|Sanavasapura|5194|GHPS DARUR|29120801801|Class 6 Assessment
2017-2018|Yes|ballari|siruguppa|talur|H.hosahalli|2279|GHPS HAGALUR|29120802601|Class 6 Assessment
2017-2018|Yes|bidar|bidar|chimkod|Chilargi|1625|GOVT HPS BASANTHPUR|29050402501|Class 6 Assessment
2016-2017|Yes|bidar|aurad|belkuni(ch)|Belkuni (ch)|1186|GOVT HPS BELKUNI (CH)|29050101201|Class 4 Assessment
2016-2017|Yes|bidar|aurad|belkuni(ch)|Belkuni (ch)|1186|GOVT HPS BELKUNI (CH)|29050101201|Class 5 Assessment
2016-2017|Yes|bidar|humnabad|udbal|Udbal|5858|GOVT HPS UDBAL|29050508301|Class 4 Assessment
2017-2018|Yes|bidar|humnabad|hudgi|Nandgaon|4711|GOVT HPS NANDGAON|29050506602|Class 4 Assessment
2016-2017|Yes|bidar|humnabad|hudgi|Sindhankera|5414|GOVT HPS SINDANKERA|29050507701|Class 4 Assessment
2018-2019|Yes|gadag|mundaragi|kadampur|Shivajinagar|6218|GHPS SHIVAJINAGAR(SHINGAT.KERI|29080200101|Class 4 Assessment
2018-2019|Yes|gadag|mundaragi|kadampur|Shivajinagar|6218|GHPS SHIVAJINAGAR(SHINGAT.KERI|29080200101|Class 5 Assessment
2018-2019|Yes|gadag|mundaragi|meundi|Meundi|4437|GHPS MEUNDI|29080201802|Class 4 Assessment
2018-2019|Yes|gadag|mundaragi|mundaragi rural|Hesarur|2598|GHPS HESARUR|29080204201|Class 4 Assessment
2018-2019|Yes|gadag|mundaragi|mundaragi rural|Hesarur|2598|GHPS HESARUR|29080204201|Class 5 Assessment
2018-2019|Yes|gadag|mundaragi|mundaragi rural|Hesarur|2598|GHPS ASHAKIRAN( KAKKUR TANDE)|29080204101|Class 6 Assessment
2017-2018|Yes|koppal|koppal|bhahaddurbandi|Bahadhurbandi|932|GOVT HIGHER PRIMARY SCHOOL BAHADDURBANDI|29070301001|Class 6 Assessment
2018-2019|Yes|koppal|gangavathi|anegundi|Sanapur|5192|GOVT HIGHER PRIMARY SCHOOL SANAPUR|29070215801|Class 6 Assessment
2017-2018|Yes|koppal|kustagi|hanumanal|Tuggaldoni|5821|GOVT HIGHER PRIMARY SCHOOL TUGGALADONI|29070416001|Class 5 Assessment
2016-2017|Yes|koppal|kustagi|hanumasagar|Yaragera|6238|GOVT HIGHER PRIMARY SCHOOL MAVINAITAGI|29070410501|Class 5 Assessment
2017-2018|Yes|koppal|kustagi|j.gudadoor|Malageti|4151|GOVT MODEL HIGHER PRIMARY SCHOOL MALAGITTI|29070410301|Class 4 Assessment
2018-2019|Yes|koppal|kustagi|j.gudadoor|Yaragera|6238|GOVT HIGHER PRIMARY SCHOOL GUDADURKALL|29070404101|Class 4 Assessment
2017-2018|Yes|koppal|kustagi|j.gudadoor|Yaragera|6238|GOVT HIGHER PRIMARY SCHOOL GUDADURKALL|29070404101|Class 5 Assessment
2016-2017|Yes|koppal|kustagi|j.gudadoor|Yaragera|6238|GOVT HIGHER PRIMARY SCHOOL GUDADURKALL|29070404101|Class 4 Assessment
