sequence,question_id,questiongroup_id
1,271,45
2,272,45
3,273,45
4,276,45
5,278,45
6,280,45
7,282,45
8,284,45
9,288,45
10,299,45
11,274,45
12,275,45
13,277,45
14,279,45
15,281,45
16,283,45
17,285,45
18,289,45
19,287,45
20,294,45
1,271,46
2,272,46
3,276,46
4,278,46
5,280,46
6,282,46
7,284,46
8,287,46
9,294,46
10,295,46
11,273,46
12,274,46
13,277,46
14,279,46
15,292,46
16,286,46
17,293,46
18,288,46
19,299,46
20,653,46
1,271,47
2,276,47
3,278,47
4,280,47
5,282,47
6,286,47
7,299,47
8,295,47
9,298,47
10,288,47
11,272,47
12,287,47
13,294,47
14,289,47
15,649,47
16,650,47
17,297,47
18,651,47
19,652,47
20,290,47
