char_id|description
numbers|Numbers
sequence|Sequence
comparision|Comparision
place_value|Place Value
fractions|Fractions
number_patterns|Number patterns
decimals|Decimals
spatial_relation|Spatial Relation
solid_shapes|Solid shapes
flat_shapes|Flat shapes
patterns_in_shapes|Patterns in shapes
mensuration|Mensuration
money|Money
length|Length
weight|Weight
volume|Volume
time|Time
data_collection|Data Collection
data_tabulation|Data Tabulation
data_representation|Data Representation
data_interpretation|Data Interpretation
addition|Addition
subtraction|Subtraction
multiplication|Multiplication
division|Division
