questiongroup_id|sequence|concept|microconceptgroup|microconcept|questionlevel|questioninformationtype|learningindicator
21|1|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
21|2|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
21|3|number_sense|place_value|identify_place_value_for_a_given_number|beginner|abstract|understanding
21|4|number_sense|place_value|identify_place_value_for_a_given_number|beginner|abstract|understanding
21|5|number_sense|sequence|arranging_in_ascending_or_descending_order|beginner|abstract|understanding
21|6|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
21|7|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
21|8|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
21|9|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
21|10|number_operations|multiplication|multiply_and_divide_by_10s,100s_and_1000s|beginner|abstract|understanding
21|11|number_operations|multiplication|long_multiplication(abstract)|beginner|abstract|understanding
21|12|number_operations|division|long_division_with_remainder|beginner|abstract|understanding
21|13|number_operations|division|long_division_with_remainder|beginner|abstract|understanding
21|14|measurements|money|word_problem_measurements_money|intermediate|comprehend|application
21|15|measurements|length|word_problem_measurements_four_arithmetic_operations_on_length|intermediate|comprehend|application
21|16|number_operations|division|division_word_problem|intermediate|comprehend|application
21|17|shapes|patterns_in_shapes|observes_and_extends_patterns_in_sequence_of_shapes|beginner|visual|analytical_skills
21|18|shapes|flat_shapes|identify_2d_shapes(pictures)|beginner|visual|analytical_skills
21|19|number_sense|fractions|fractions_using_pictures|intermediate|semi_abstract|understanding
21|20|shapes|flat_shapes|2d_shapes_attributes|beginner|visual|analytical_skills
