gp_id,gp_name,lang_name
496,Aaduvalli,ಆಡುವಳ್ಳಿ
497,Aavuthi,ಆವುತಿ
498,Abalavadi,ಆಬಲವಾಡಿ
499,Abbalagere,ಅಬ್ಬಲಗೆರೆ
500,Abbenahalli,ಅಬ್ಬೇನಹಳ್ಳಿ
501,Abbigere,ದೊಡಬ್ಬಿಗೆರೆ
502,Abbigeri,ಅಬ್ಬಿಗೇರಿ
503,Abbinahole,ಅಬ್ಬಿನಹೊಳೆ
504,Abbna (magge),ಮಗ್ಗೆ
505,Abloodu,ಅಬ್ಬಲೂರು
506,Ablur,ಅಬಲೂರು
507,Achapura,ಆಚಾಪುರ
508,Achave,ಅಚವೆ
509,Achhalu,ಅಚ್ಚಲು
510,Adagal,ಆಡಗಲ್ಲ
511,Adagur,ಅಡಗೂರು
512,Adaguru,ಅಡಗೂರು
513,Adahalli,ಅಡಹಳ್ಳಿ
514,Adaki,ಅಡಕಿ
515,Adanuru,ಕಾಡನೂರು
516,Adarakatti,ಆಡರಕಟ್ಟಿ
517,Adarangi,ಅದರಂಗಿ
518,Adargunchi,ಅದರಗುಂಚಿ
519,Adavibhavi tanda,ಅಡವಿಭಾವಿ
520,Adavi somanal,ಅಡವಿ ಸೋಮನಾಳ
521,Adavihalli,ಅಡವಿಹಳ್ಳಿ
522,Adavisomapur,ಅದವಿಸೋಮಾಪುರ
523,Addagal,ಅಡ್ಡಗಲ್
524,Addagudde,ಅಡ್ಡಗದ್ದೆ
525,Addgal,ಅಡ್ಡಗಲ್
526,Adi,ಆಡಿ
527,Adivala,ಆದಿವಾಲ
528,Adrahalli,ಅಧರಹಳ್ಳಿ
529,Adur,ಆಡೂರು
530,Adyar,ಅಡ್ಯಾರು
531,Afzalpur tp,ಆಫ್ಜಲ್ಪುರ
532,Agadi,ಅಗಡಿ
533,Agalagandi,ಅಗಳಗಂಡಿ
534,Agalagurki,ಅಗಲಗುರ್ಕಿ
535,Agalakera,ಅಗಳಕೇರ
536,Agalakote,ಅಗಲಕೋಟೆ
537,Agalakuppe,ಅಗಳಕುಪ್ಪೆ
538,Agara,ಅಗರ
539,Agarabannihatti,ಅಗರಬನ್ನಿಹಟ್ಟಿ
540,Agaradahalli,ಆಗರದಹಳ್ಳಿ
541,Agarkhed,ಅಗರಖೇಡ
542,Agasage,ಅಗಸಗೆ
543,Agasana pura,ಅಗಸನಪುರ
544,Agasanahalli,ಅಗಸನಹಳ್ಳಿ
545,Agasavalli,ಅಗಸವಳ್ಳಿ
546,Agasur,ಅಗಸೂರ
547,Agathagowdana halli,ಅಗತಗೌಡನಹಳ್ಳಿ
548,Aggunda,ಅಗ್ಗುಂದ
549,Aghalaya,ಅಘಾಲಯ
550,Agni,ಅಗ್ನಿ
551,Agoli,ಆಗೋಲಿ
552,Agragona,ಅಗ್ರಗೋಣ
553,Agrahara,ಅಗ್ರಹಾರ
554,Agraharabachahally,ಅಗ್ರಹಾರ ಬಾಚಹಳ್ಳಿ
555,Agraharamuchadi,ಅಗ್ರಹಾರಮುಚಡಿ
556,Agumbe,ಆಗುಂಬೆ
557,Aheri,ಆಹೇರಿ
558,Ahirasang,ಅಹಿರಸಂಗ
559,Aigali,ಐಗಳಿ
560,Aigur,ಐಗೂರು
561,Aihole,ಐಹೊಳೆ
562,Aikala,ಐಕಳ
563,Aikur,ಐಕೂರು
564,Ainapur,ಐನಾಪುರ
565,Ainolli,ಐನೋಳ್ಳಿ
566,Aithoor,ಐತ್ತೂರು
567,Aivarnadu,ಐವರ್ನಾಡು
568,Aiyangeri,ಅಯ್ಯಂಗೇರಿ
569,Ajjampura,ಅಜ್ಜಂಪುರ
570,Ajjanahalli,ಅಜ್ಜನಹಳ್ಳಿ
571,Ajjavara,ಅಜ್ಜಾವರ
572,Ajjihalli,ಅಜ್ಜಿಹಳ್ಳಿ
573,Ajjipura,ಅಜ್ಜಿಪುರ
574,Ajlapur,ಅಜಲಾಪೂರ
575,Ajri,ಆಜ್ರಿ
576,Akheti,ಅಖೇತಿ
577,Akkanahally,ಅಕ್ಕನಹಳ್ಳಿ
578,Akkatangerhal,ಅಕ್ಕತಂಗೇರಹಾಳ
579,Akki sagar,ಅಕ್ಕಿಸಾಗರ
580,Akkialur,ಅಕ್ಕಿಆಲೂರ
581,Akkihebbalu,ಅಕ್ಕಿಹೆಬ್ಬಾಳು
582,Akkirampura,ಅಕ್ಕಿರಾಂಪುರ
583,Akkol,ಅಕ್ಕೋಳ
584,Akkuru,ಅಕ್ಕೂರು
584,Akkuru,ಅಕ್ಕೂರು
585,Alabanur,ಅಲಬನೂರು
586,Alabooru,ಅಲಬೂರು
587,Aladakatti,ಆಲದಕಟ್ಟಿ
588,Aladangady,ಅಳದಂಗಡಿ
589,Aladgeri,ಆಲದಗೇರಿ
590,Alagavadi,ಅಳಗವಾಡಿ
591,Alagawadi,ಅಳಗವಾಡಿ
592,Alageri,ಆಲಗೇರಿ
593,Alagudu,ಅಲಗೂಡ
594,Alagur,ಆಲಗೂರ
595,Alahalli,ಪಾಲಹಳ್ಳಿ
596,Alakapura,ಅಲಕಾಪುರ
597,Alakere(mandya),ಕೆರೆ
598,Alaknur,ಅಲಖನೂರ
599,Alakoda,ಅಳಕೋಡ
600,Alamatti,ಆಲಮಟ್ಟಿ
601,Alambadi jyothanahalli,ಆಲಂಬಡಿ ಜೊತೇನಹಳ್ಳಿ
602,Alambadi kaval,ಆಲಂಬಾಡಿಕಾವಲು
603,Alana halli,ಅಲನಹಳ್ಳಿ
603,Alana halli,ಅಲನಹಳ್ಳಿ
604,Aland,ಲಾಳಂದೇವನಹಳ್ಳಿ
605,Alanga,ಅಳಂಗಾ
606,Alangur,ಅಲಂಗೂರು
607,Alankar,ಆಲಂಕಾರು
608,Alathur,ಆಲತ್ತೂರು
609,Alawandi,ಅಳವಂಡಿ
610,Aldal,ಆಲ್ದಾಳ
611,Aldur,ಆಲ್ದೂರು
612,Aletty,ಆಲೆಟ್ಟಿ
613,Alevuru,ಹಳೆವೂರು
614,Algood,ಆಲಗೂಡ
615,Algud,ಅಲಗೂಡ
616,Aliamber,ಅಲಿಯಂಬರ
617,Alike,ಅಳಿಕೆ
618,Alilaghatta,ಅಳಿಲುಘಟ್ಟ
619,Alipura,ಅಲ್ಲೀಪುರ
620,Aliyabad (j),ಅಲಿಯಾಬಾದ
621,Alkod,ಆಲ್ಕೋಡ
622,Allagi (b),ಅಳ್ಳಗಿ ಬಿ
623,Allampura,ಅಲ್ಲಂಪುರ
624,Alli maranahalli,ಹಳ್ಳಿಮಾರನಹಳ್ಳಿ
625,Allipur,ಅಲ್ಲಿಪುರ
626,Alliyabad,ಅಲಿಯಾಬಾದ
627,Allur (b),ಅಲ್ಲೂರ(ಬಿ)
628,Almel,ಅಲ್ಮೇಲ್
629,Alnavar city,ಅಳ್ನಾವರ ನಗರ
630,Aloor 22,ಆಲೂರ
631,Alooru,ಆಲೂರು
632,Alur,ಆಳೂರ
632,Alur,ಆಳೂರ
633,Alur sk,ಆಲೂರು ಎಸ್ ಕೆ
634,Aluru,ಆಲೂರು
635,Alwai,ಅಳವಾಯಿ
636,Amachavadi,ಅಮಚವಾಡಿ
637,Amadalli,ಅಮದಳ್ಳಿ
638,Amadihal,ಅಮ್ದಿಹಾಳ
639,Amaragol,ಅಮರಗೋಳ
640,Amaramudnur,ಅಮರಮುಡ್ನೂರು
641,Amarapur,ಅಮರಾಪುರ
642,Amarapura,ಅಮರಾಪುರ
643,Amarawati,ಆಮರಾವತಿ
644,Amate,ಅಮಟೆ
645,Amatekoppa,ಅಮಟೇಕೊಪ್ಪ
646,Amatur,ಅಮಟೂರ
647,Amavasebail,ಅಮಾವಾಸೆಬೈಲ್
648,Ambadgatti,ಅಂಬಡಗಟ್ಟಿ
649,Ambale,ಅಂಬಳೆ
650,Ambalga,ಅಂಬಲಗಾ
651,Ambali,ಅಂಬಳಿ
652,Ambaragoppa,ಅಂಬಾರಗೊಪ್ಪ
653,Ambesangavi,ಅಂಬೆಸಾಂಗವಿ
654,Ambewadi,ಅಂಬೇವಾಡಿ
655,Ambikanagara,ಅಂಬಿಕಾನಗರ
656,Amblamogaru,ಅಂಬ್ಲಮೊಗರು
657,Amblikal,ಅಂಬಿಕಲ್ಲು
658,Ambuga,ಅಂಬುಗ
659,Ameenagada,ಅಮೀನಗಡ
660,Aminagad,ಅಮೀನಗಡ
661,Amlapur,ಅಮಲಾಪೂರ
662,Ammanagatta,ಅಮ್ಮನಘಟ್ಟ
663,Ammanallur,ಅಮ್ಮನಲ್ಲೂರು
