lang_name,english_name
ಬಾಗಲಕೋಟೆ,BAGALKOTE
ಬೆಂಗಳೂರು ನಗರ ಉತ್ತರ,BENGALURU U NORTH
ಬೆಂಗಳೂರು ನಗರ ದಕ್ಷಿಣ,BENGALURU U SOUTH
ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ,BENGALURU RURAL
ಬೆಳಗಾವಿ,BELAGAVI
ಬಳ್ಳಾರಿ,BALLARI
ಬೀದರ್‌,BIDAR
ವಿಜಯಾಪುರ,VIJAYAPURA
ಚಾಮರಾಜನಗರ,CHAMARAJANAGARA
ಚಿಕ್ಕಮಗಳೂರು,CHIKKAMAGALURU
ಚಿತ್ರದುರ್ಗ,CHITRADURGA
ದಕ್ಷಿಣ ಕನ್ನಡ,DAKSHINA KANNADA
ದಾವಣಗೆರೆ,DAVANAGERE
ಧಾರವಾಡ,DHARWAR
ಗದಗ,GADAG
ಕಲಬುರಗಿ,KALABURAGI
ಹಾಸನ,HASSAN
ಹಾವೇರಿ,HAVERI
ಕೊಡಗು,KODAGU
ಕೋಲಾರ,KOLAR
ಕೊಪ್ಪಳ,KOPPAL
ಮಂಡ್ಯ,MANDYA
ಮೈಸೂರು,MYSURU
ರಾಯಚೂರು,RAICHUR
ಶಿವಮೊಗ್ಗ,SHIVAMOGGA
ತುಮಕೂರು,TUMAKURU
ತುಮಕೂರು ಮಧುಗಿರಿ,TUMAKURU MADHUGIRI
ಉಡುಪಿ,UDUPI
ಉತ್ತರ ಕನ್ನಡ ಶಿರಸಿ,UTTARA KANNADA SIRSI
ಉತ್ತರ ಕನ್ನಡ,UTTARA KANNADA
ಚಿಕ್ಕಬಳ್ಳಾಪುರ,CHIKKABALLAPURA
ರಾಮನಗರ,RAMANAGARA
ಯಾದಗಿರಿ,YADGIR
ಬೆಳಗಾವಿ ಚಿಕ್ಕೋಡಿ,BELAGAVI CHIKKODI
