gpid,designation,name
4442,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಗಂಗಮ್ಮ  ಎಮ್. ಜಿ 
4442,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಬಸವರಾಜ ವೀರಪ್ಪ  ಬಳೂಟಗಿ 
4442,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ರವಿಕುಮಾರ್.ಎಸ್ 
4442,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಗಾಯತ್ರಿ ಎಂ.ಎಸ್
4442,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಮಸೂದ್. ಎ 
2921,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ನರಸಮ್ಮ 
2921,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಗಂಗಾಧರಯ್ಯ 
2921,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಶ್ರೀನಿವಾಸ್. ಎಮ್ 
2921,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಮಮತ
2921,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಪ್ರದೀಪ್
2820,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ತಿಮ್ಮಕ್ಕ 
2820,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಮಧುಸೂಧನ್. ಎಸ್ 
2820,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ವೇಣು. ಎನ್.ವಿ 
2820,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಅರುಣ್ ಕುಮಾರ್. ಎ
2820,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಪಿ.ಶಿಲ್ಪ
619,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಅಸ್ಕರಿ ಬೇಗಂ 
619,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಆರ್. ಎನ್. ಸಿದ್ದರಾಮಯ್ಯ 
619,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ರಮೇಶ್. ಜಿ.ಎನ್ 
619,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಶ್ರೀನಿವಾಸಲು
619,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಶಶಿಕುಮಾರ
5697,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ತಿಪ್ಪಕ್ಕ 
5697,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ನಾಗೇಂದ್ರ. ಬಿ.ಎಚ್ 
5697,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಯತೀಶ್. ಪಿ.ಜಿ 
5697,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಶ್ರೀನಿವಾಸ್ ಶರ್ಮಾ. ಟಿ. ಎಸ್
5697,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಕೋಮಲ. ಸಿ. ಎಸ್
2048,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಜಿ. ಪಿ  ಲಕ್ಷ್ಮೀ ನಾರಾಯಣ 
2048,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ರೂಪ. ಎಲ್ 
2048,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಶಾಂತಪ್ಪ. ಎಚ್.ಸಿ 
2048,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ರವಿ
2048,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಶ್ರೀನಿವಾಸ
6508,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ತಿರುಮಲೇಶ. ಎಚ್.ವಿ 
