State,District,Block,Cluster,GPName,GP Id,Village,SchoolName,SchoolId,DiseCode,new_village
Karnataka,bagalkot,jamakhandi,banahatti east,Navalagi,4759,HUNNUR,GOVT HPS BANDIGANI-CROSS,2688,29020902404,BANDIGANI-CROSS
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT HPS CHIMMAD,2629,29020901101,CHIMMAD
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT HPS MAHALINGESHWAR TOTA CHIMMAD,39205,29020901104,MAHALINGESHWAR TOTA CHIMMAD
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT KAN GIRLS HPS CHIMMAD ,39206,29020901105,CHIMMAD
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT LPS GURAV TOTA CHIMMADA,2638,29020901112,GURAV TOTA CHIMMADA
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT LPS JALIKATTI TOTA CHIMMAD,2631,29020901103,JALIKATTI TOTA CHIMMAD
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT LPS JANGANUR TOTA CHIMMAD,39207,29020901110,JANGANUR TOTA CHIMMAD
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT LPS KAVATE TOTA CHIMMADA,2637,29020901111,KAVATE TOTA CHIMMADA
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT LPS PATIL TOTA CHIMMAD,2634,29020901108,PATIL TOTA CHIMMAD
Karnataka,bagalkot,jamakhandi,chimmad,Chimmada,1630,CHIMMAD,GOVT LPS SIMI LAKKAVVA GUDI CHIMMAD,2635,29020901109,SIMIL AKKAVVAGUDI CHIMMAD
Karnataka,bagalkot,jamakhandi,hipparagi,Hipparagi,2608,HIPPARGI,GOVT BOYS HPS HIPPARGI,2668,29020902001,HIPPARGI
Karnataka,bagalkot,jamakhandi,hipparagi,Hipparagi,2608,HIPPARGI,GOVT KAN GIRLS HPS HIPPARGI,2669,29020902002,HIPPARGI
Karnataka,bagalkot,jamakhandi,hipparagi,Hipparagi,2608,HIPPARGI,GOVT LPS HIPPARGI H MATH,2671,29020902004,HIPPARGIH MATH
Karnataka,bagalkot,jamakhandi,hipparagi,Hipparagi,2608,HIPPARGI,GOVT LPS KANGOUDAR TOTA HIPPARGI,39212,29020902022,KANGOUDAR TOTA HIPPARGI
Karnataka,bagalkot,jamakhandi,hipparagi,Hipparagi,2608,HIPPARGI,GOVT LPS KITTUR TOTA HIPPARAGI,2673,29020902007,KITTUR TOT AHIPPARAGI
Karnataka,bagalkot,jamakhandi,hipparagi,Hipparagi,2608,HIPPARGI,GOVT LPS NAGARAL TOTA HIPPARAGI,2683,29020902011,NAGARAL TOTA HIPPARAGI
Karnataka,bagalkot,jamakhandi,hipparagi,Hipparagi,2608,HIPPARGI,GOVT LPS SLG HIPPARAGI,2684,29020902012,SLG HIPPARAGI
Karnataka,bagalkot,jamakhandi,hipparagi,Kulhalli,3865,KULAHALLI,GOVT HPS KULAHALLI,2674,29020904301,KULAHALLI
Karnataka,bagalkot,jamakhandi,hipparagi,Kulhalli,3865,KULAHALLI,GOVT HPS  KULAHALLI TOTA 1,2675,29020904303,KULAHALLI TOTA1
Karnataka,bagalkot,jamakhandi,hipparagi,Kulhalli,3865,KULAHALLI,GOVT KGHPS KULHALLI,2678,29020904306,KULHALLI
Karnataka,bagalkot,jamakhandi,hipparagi,Kulhalli,3865,KULAHALLI,GOVT LPS GOMBIGUDD KULHALLI,2677,29020904305,GOMBIGUDD KULHALLI
Karnataka,bagalkot,jamakhandi,hipparagi,Kulhalli,3865,KULAHALLI,GOVT LPS KULAHALLI TOTA 2,2676,29020904304,KULAHALLI TOTA2
Karnataka,bagalkot,jamakhandi,hipparagi,Kulhalli,3865,KULAHALLI,GOVT LPS TALAVAR TOTA KULHALLI,2679,29020904308,TALAVARTOTAKULHALLI
Karnataka,bagalkot,jamakhandi,hunnur,Hunnur,2878,HUNNUR,GOVT HPS GANDHI NAGAR HUNNUR,2689,29020902405,GANDHI NAGAR HUNNUR
Karnataka,bagalkot,jamakhandi,hunnur,Hunnur,2878,HUNNUR,GOVT MPS HUNNUR,2685,29020902412,HUNNUR
Karnataka,bagalkot,jamakhandi,hunnur,Madarakandi,4081,MADARAKANDI,GOVT HPS GANESH TOTA MADARAKANDI,39216,29020904903,GANESH TOTA MADARAKANDI
Karnataka,bagalkot,jamakhandi,hunnur,Madarakandi,4081,MADARAKANDI,GOVT HPS MADARKHANDI,2696,29020904907,MADARKHANDI
Karnataka,bagalkot,jamakhandi,hunnur,Madarakandi,4081,MADARAKANDI,GOVT LPS HULLIKODI MADHURAKHANDI,2699,29020904906,HULLIKODI MADHURAKHANDI
Karnataka,bagalkot,jamakhandi,hunnur,Madarakandi,4081,MADARAKANDI,GOVT LPS PARAPPANAVAR TOTA M.,2698,29020904905,PARAPPANAVAR TOTA M.
Karnataka,bagalkot,jamakhandi,rampur,Jagadal,3002,JAGADAL,GOVT HPS HARIJAN KERI JAGADAL,2645,29020902604,HARIJAN KERI JAGADAL
Karnataka,bagalkot,jamakhandi,rampur,Jagadal,3002,JAGADAL,GOVT HPS JAGADAL,2643,29020902601,JAGADAL
Karnataka,bagalkot,jamakhandi,rampur,Jagadal,3002,JAGADAL,GOVT LPS JAGADAL K TOTA,2644,29020902602,JAGADAL K TOTA
Karnataka,bagalkot,jamakhandi,rampur,Jagadal,3002,JAGADAL,GOVT LPS KANATTI TOTA JAGADAL,2646,29020902606,KANATTI TOTA JAGADAL
Karnataka,bagalkot,jamakhandi,rampur,Jagadal,3002,JAGADAL,GOVT LPS SIMILAKKAVVAN GUDI JAGADAL,2647,29020902610,SIMILAKKAVVAN GUDI JAGADAL
Karnataka,vijayapura,muddebihal,kodaganur,Kodaganur,3640,LAKKUNDI,GOVT KBHPS LAKKUNDI,28761,29031010201,LAKKUNDI
Karnataka,vijayapura,muddebihal,minajagi,Minajagi,4441,MINAJAGI,GOVT KBHPS JANTA COLONY MINAJAGI,28871,29031011402,JANTA COLONY MINAJAGI
Karnataka,vijayapura,muddebihal,minajagi,Mukihal,4534,MINAJAGI,GOVT LPS MUKIHAL DARGA MINAJAGI,63764,29031011405,MUKIHAL DARGA MINAJAGI
