GP CODE,GP NAME ,SCHCD,SCHNAME
211501001,Angarabandha,21150100101,Jhatakipasi PS
211501001,Angarabandha,21150100102,Alekhamahima UPS
211501001,Angarabandha,21150100152,PANCHAYAT HS ANGARABANDHA
211501001,Angarabandha,21150100201,Khandahata PS
211501001,Angarabandha,21150100202,Khandahata UPS
211501001,Angarabandha,21150100301,Angarabandha PS
211501002,Antulia,21150100402,"GOVT.UGHS,ANTULIA"
211501002,Antulia,21150100451,"SARASWATI SISU VIDYAMANDIR, ANTULIA"
211501002,Antulia,21150100601,BHALUMUNDA PROJECT PS
211501002,Antulia,21150100701,"Janata Nodal UPS, Dandasingha"
211501002,Antulia,21150100802,Ganjada PROJECT UPS
211501002,Antulia,21150101001,Kadaliberini PS
211501002,Antulia,21150101101,Laxmanpur PS
211501002,Antulia,21150101201,Rodasingha UPS
211501002,Antulia,21150101301,Tabada PS
211501003,Badakantakul,21150101401,Badakantakul Nodal UPS
211501003,Badakantakul,21150101501,Badakantakul G.P. HS
211501003,Badakantakul,21150101503,JAMUGADIA PUPS
211501003,Badakantakul,21150101504,Sindhrisahi PS
211501003,Badakantakul,21150101505,"Ramakrushna Sishu Vidya Mandira,Jamugadia"
211501003,Badakantakul,21150101602,Kanja Project UPS
211501003,Badakantakul,21150101802,Nuakheta PS
211501003,Badakantakul,21150101803,Nuakheta UPS
211501003,Badakantakul,21150101901,Raigoda PS
211501003,Badakantakul,21150102101,Sanakantakul PS
211501003,Badakantakul,21150102201,Saruali PS
211501004,Badakera,21150102401,Badakera PS
211501004,Badakera,21150102402,Badakera UPS
211501004,Badakera,21150102403,"Sri Jagannath HS, Badakera"
211501004,Badakera,21150102404,GATI GAUR PUBLIC SCHOOL
211501004,Badakera,21150102502,Champatimunda Project UPS
211501004,Badakera,21150102503,"POST BASIC SCHOOL, CHAMPATIMUNDA"
211501004,Badakera,21150102601,Dalabeherasahi SS
211501004,Badakera,21150102701,Guranga SS
211501004,Badakera,21150102802,"SHREE SHREE JAGANNATH MAHAVIDYALAYA,BADAKERA"
211501004,Badakera,21150102901,Ragudiapada PS
211501004,Badakera,21150103101,Tumuni Project PS
211501004,Badakera,21150103102,Tumuni PS
211501005,Balanga,21150103201,"BALANGA GOVT.UGHS,BALANGA"
211501005,Balanga,21150103202,GOTHAMALASAHI PS
211501005,Balanga,21150103401,Hidisingh PS
211501005,Balanga,21150103503,JOKUB PROJECT PS
211501005,Balanga,21150103701,Pampasara PS
211501005,Balanga,21150103801,Talisara PS
211501006,Balasingha,21150103901,Balasingha HS
211501006,Balasingha,21150103902,Balasingha UPS
211501006,Balasingha,21150104001,Balisahi NUPS
211501006,Balasingha,21150104401,Hanadiha PS
211501006,Balasingha,21150104701,Pandapur PS
211501006,Balasingha,21150104901,SURABA PROJECT UPS
211501007,Baluakata,21150105201,Baluakata PS
211501007,Baluakata,21150105202,Baluakata UPS
211501007,Baluakata,21150105203,Kumbhakaranasahi PS
211501007,Baluakata,21150105301,Sabalabhanga PS
211501007,Baluakata,21150105302,"Nilakantheswar UPS, Sabalabhanga"
211501007,Baluakata,21150105351,"Nilakantheswaar HS, Sabalabhanga"
211501007,Baluakata,21150105352,"RAMAKRISHNA SISHU VIDYA MANDIR,SABALABHANGA"
211501007,Baluakata,21150105501,Saradhapur (A) UPS
211501008,Bantala,21150105701,Bantala Bazar PS
211501008,Bantala,21150105702,Bantala HS
211501008,Bantala,21150105703,Bantala PS
211501008,Bantala,21150105704,Bantala UPS
211501008,Bantala,21150105751,Bantala Girls HS
211501008,Bantala,21150105752,"Saraswati Shishu Mandir, Bantala"
211501008,Bantala,21150105753,"SRI CHANDRA SEKHAR MAHAVIDYALAYA,BANTALA"
211501008,Bantala,21150105801,Jaraorpur UPS
211501008,Bantala,21150106002,SAHARGUDA PROJECT PS
211501009,Baragounia,21150106101,BADAHINSO NEW UPS
211501009,Baragounia,21150106102,Kumbharsahi PS
211501009,Baragounia,21150106201,Bandanapasi PS
