SCHCD|LatitudeDeg|LatitudeMin|LatitudeSec|LongitudeDeg|LongitudeMin|LongitudeSec
1060100101|33|43|9|75|10|8
1060100102|33|71|99|75|16|23
1060100105|33|71|99|75|16|23
1060100106||||||
1060100201|33|42|46|75|11|7
1060100202||||||
1060100204||||||
1060100206|33|41|44|75|10|54
1060100208|33|42|46|75|11|7
1060100301|33|70|18|75|20|36
1060100304|33|70|24|75|20|87
1060100306|33|70|23|75|20|37
1060100402||||||
1060100405|33|70|83|75|18|10
1060100406|33|70|75|75|18|9
1060100501|33|43|3|75|11|17
1060100601|33|43|8|75|11|13
1060100701|33|68|57|75|25|66
1060100702|33|68|57|75|25|66
1060100801|33|68|73|75|22|29
1060100802|33|56|64|75|12|39
1060100805|33|70|20|75|22|12
1060100901|33|72|95|75|22|95
1060100902|33|70|20|75|22|12
1060100904|33|71|56|75|23|99
1060100906|33|71|56|75|25|6
1060100907|33|71|56|75|23|99
1060100909|33|71|56|75|23|99
1060100911|33|71|56|75|25|6
1060101001|33|72|95|75|22|95
1060101101|33|71|8|75|24|99
1060101102|33|71|95|75|26|18
1060101104|33|72|6|75|25|98
1060101105|33|71|8|75|24|99
1060101106|33|71|84|75|26|38
1060101107|33|71|84|75|26|38
1060101108|33|71|55|75|26|57
1060101201|33|72|6|75|25|98
1060101301|33|72|6|75|25|98
1060101303|33|72|6|75|25|98
1060101304|33|72|6|75|25|98
1060101305|33|72|23|75|26|32
1060101401|33|69|35|75|25|81
1060101402|33|73|77|75|24|2
1060101501|33|55|0|75|31|0
1060101502|33|55|0|75|31|0
1060101503|33|65|0|75|16|0
1060101505|33|69|0|75|24|0
1060101507|33|41|0|75|14|0
1060101508|33|53|0|75|28|0
1060101601|33|70|58|75|21|89
1060101602|33|70|17|75|22|34
1060101603|33|72|62|75|21|90
1060101701|33|69|26|75|22|16
1060101702|33|35|0|75|30|0
1060101705|33|69|54|75|21|85
1060101706|33|69|19|75|22|80
1060101707|33|68|42|75|22|79
1060101709|33|69|75|75|22|76
1060101710||||||
1060101801|33|65|0|75|21|0
1060101802|33|65|0|75|21|0
1060101804|33|86|59|74|85|43
1060101901|33|71|0|75|15|12
1060101902|33|73|11|75|14|87
1060101903|33|72|11|75|15|87
1060102001|33|65|0|75|23|47
1060102002|33|65|58|75|23|26
1060102003|33|65|15|75|23|78
1060102004|33|65|15|75|23|78
1060102005|33|65|58|75|23|26
1060102006|33|20|0|74|80|0
1060102007|33|64|0|75|6|0
1060102008|33|64|0|75|6|0
1060102014|33|20|0|74|80|0
1060102016|33|73|0|75|14|0
1060102101|33|31|95|74|59|3
1060102102|33|68|55|74|85|0
1060102201|33|70|0|74|83|68
1060102301|33|41|15|75|12|40
1060102302|33|41|14|75|12|39
1060102303|33|42|25|75|11|43
1060102304|33|41|14|75|12|39
1060102401|33|68|0|75|22|0
1060102402|33|40|0|75|11|0
1060102403|33|51|23|75|12|53
1060102404|33|40|43|75|11|52
1060102406|33|67|59|75|18|50
1060102409|33|40|0|75|11|0
1060102410|33|67|0|75|19|0
1060102412|33|67|81|75|11|36
1060102501|33|41|14|75|13|40
1060102502|33|41|14|75|13|22
1060102503|33|70|56|75|19|18
1060102504|33|41|18|75|11|10
1060102506|33|70|9|75|19|18
1060102601|33|69|0|75|20|9
1060102602|33|51|0|75|21|0
1060102701|33|42|25|75|11|43
1060102705|33|41|21|75|11|37
1060102801|33|69|85|75|16|18
1060102802|33|67|81|75|19|32
1060102805|33|43|0|75|9|0
