SCHCD|LONGITUDE|LATITUDE
21150105203|85.099560|20.769000
21150109902|85.091130|20.733580
21150122004|84.813370|20.763650
21150307306|85.053040|20.837520
21150405173|84.874090|21.088150
21150413803|84.750570|21.100790
21150414205|84.726290|21.110370
21150417408|84.813690|21.092120
21150417508|84.796560|21.070310
21150722902|85.362210|21.195620
21150723402|85.371360|21.195220
21150727501|85.245790|21.230430
21150902503|85.103570|20.826900
21150902604|85.100200|20.826320
21151100503|85.156980|20.927390
21151101401|85.232290|20.944760
21080111701|86.814450|21.417170
21080201601|87.277770|21.685610
21080216409|87.180190|21.549400
21080300105|87.072430|21.681070
21080500105|87.248600|21.770730
21080603003|86.448090|21.160490
21080607703|86.549390|21.331220
21080613401|86.382850|21.297520
21080628801|86.537120|21.273420
21080800174|86.543480|21.342580
21080800175|86.537080|21.356220
21080913803|86.817270|21.507020
21080920701|86.831280|21.491190
21080920704|86.832670|21.498390
21081000118|87.091460|21.491110
21081026416|87.106160|21.542100
21081112304|86.593830|21.138640
21081113253|86.612760|21.182360
21081115004|86.540450|21.218260
21081115202|86.570530|21.229660
21081115801|86.578210|21.166070
21081216101|86.746360|21.184820
21010804102|83.321360|20.882890
21010900905|82.805030|21.132420
21011105401|83.136140|21.015810
21011105402|83.135810|21.018150
21090106616|86.828320|21.029980
21090109808|86.709020|21.085660
21090110803|86.719680|21.025190
21090111509|86.827890|21.094720
21090201204|86.491070|21.135620
21090203301|86.448940|21.035670
21090205802|86.591270|21.085020
21090214506|86.605440|21.067780
21090409901|86.410360|21.154390
21090500901|86.744810|20.791920
21090502902|86.763290|20.817550
21090507803|86.880370|20.819290
21090714105|86.647160|20.860920
21240510903|83.226850|20.549850
21240900202|83.021520|20.493420
21240904902|82.945280|20.379900
21240907402|83.040890|20.422010
21240913401|83.095560|20.313880
21241400702|82.758150|20.415870
21241406402|82.832420|20.466950
21241406602|82.790960|20.445350
21220134301|84.027170|20.640870
21220143001|84.297710|20.824070
21220143101|84.305780|20.827990
21220228601|84.582300|20.619120
21220300402|83.943330|20.829160
21220345701|83.749130|20.667570
21120400105|85.854480|20.421490
21120809503|86.222430|20.600390
21120816503|86.235440|20.557020
21040110302|84.984990|21.625400
21040312502|84.507220|21.510120
21040317801|84.743860|21.505650
21140100801|85.862110|20.895410
21140205706|85.489780|20.528850
21140211104|85.675750|20.677280
21140302301|85.980520|20.813460
21140310804|85.970090|20.735230
21140311801|85.872410|20.725910
21140400104|85.295240|20.719830
21140405702|85.223600|20.685960
21140410301|85.287570|20.611350
21140514203|85.589240|20.760270
21140600604|85.447410|21.058510
21140607803|85.612360|21.083750
21140609403|85.632810|20.964050
21140609802|85.703340|21.039220
21140701503|85.501080|20.673700
21140702203|85.423140|20.768540
21140710202|85.283250|20.824510
21140805405|85.368310|20.843460
21200201202|83.984240|19.054360
21200202202|84.018880|19.026990
21200203102|83.916070|18.989940
21200206701|83.956330|18.917760
21200210403|84.045790|18.926140
21200212303|84.072250|18.896640
21200213302|83.979810|18.983820
21200216802|84.075990|18.854130
21200220602|83.980950|18.904040
21200222101|84.029790|18.959310
21200222201|84.069510|18.920600
21200222301|83.921850|19.010330
21200410003|84.100400|19.359210
