SCHCD|LatitudeDeg|LatitudeMin|LatitudeSec|LongitudeDeg|LongitudeMin|LongitudeSec
21150100101||||||
21150100201||||||
21150100301||||||
21150100402||||||
21150100601||||||
21150100701||||||
21150100802||||||
21150101001||||||
21150101101||||||
21150101201||||||
21150101301||||||
21150101401||||||
21150101503||||||
21150101504||||||
21150101602||||||
21150101802||||||
21150101901||||||
21150102101||||||
21150102201|20|48||85|1|
21150102401||||||
21150102402||||||
21150102403||||||
21150102502||||||
21150102503||||||
21150102601||||||
21150102701||||||
21150102901||||||
21150103101||||||
21150103102||||||
21150103201||||||
21150103202||||||
21150103401||||||
21150103503||||||
21150103701||||||
21150103801||||||
21150103901||||||
21150103902||||||
21150104001||||||
21150104401||||||
21150104701||||||
21150104901||||||
21150105201||||||
21150105203|20|46|57|85|6|37
21150105301||||||
21150105501||||||
21150105701||||||
21150105702||||||
21150105703||||||
21150105704||||||
21150105801||||||
21150106002||||||
21150106101||||||
21150106102||||||
21150106201||||||
21150106302||||||
21150106303||||||
21150106304||||||
21150106401||||||
21150106501||||||
21150106701||||||
21150106801||||||
21150106802||||||
21150106901||||||
21150107001||||||
21150107201||||||
21150107202||||||
21150107501||||||
21150107502||||||
21150107601||||||
21150107801||||||
21150107802||||||
21150107901||||||
21150108001||||||
21150108101||||||
21150108401||||||
21150108501||||||
21150108601||||||
21150108801||||||
21150108901||||||
21150108902||||||
21150109301||||||
21150109401||||||
21150109502||||||
21150109701||||||
21150109902||||||
21150110001||||||
21150110101||||||
21150110201||||||
21150110301||||||
21150110402||||||
21150110501||||||
21150110701||||||
21150110801||||||
21150110901||||||
21150111001||||||
21150111002||||||
21150111003||||||
21150111101||||||
21150111202||||||
21150111203||||||
21150111205||||||
21150111206||||||
21150111207||||||
21150111208||||||
21150111301||||||
21150111401||||||
21150111501||||||
21150111502||||||
21150111601||||||
21150111602||||||
21150111701||||||
21150111801||||||
21150111901||||||
21150112101||||||
21150112201||||||
21150112401||||||
21150112402||||||
21150112601||||||
21150112701||||||
21150112902||||||
21150112903||||||
21150113101||||||
21150113301||||||
21150113401||||||
21150113501||||||
21150113801||||||
21150113901||||||
21150113903||||||
21150113904|20|46|2|85|4|48
21150114001||||||
21150114002||||||
21150114101||||||
21150114501||||||
21150114701||||||
21150114801||||||
21150115001||||||
21150115002||||||
21150115101||||||
21150115201||||||
21150115302||||||
21150116001||||||
21150116002||||||
21150116101||||||
21150116201||||||
21150116801||||||
21150116802||||||
21150117101||||||
21150117301||||||
21150117401||||||
21150117601||||||
21150117602||||||
21150118001||||||
21150118101||||||
21150118102||||||
21150118103||||||
21150118104||||||
21150118401||||||
21150118501||||||
21150118601||||||
21150118701||||||
21150118703||||||
21150118704||||||
21150118802||||||
21150119001||||||
21150119101||||||
21150119102||||||
21150119502||||||
21150119601||||||
21150119801||||||
21150120001||||||
21150120002||||||
21150120101||||||
21150120201||||||
21150120301||||||
21150120401||||||
21150120601||||||
21150120801||||||
21150120901||||||
21150121002||||||
21150121101||||||
21150121201||||||
21150121301||||||
21150121401||||||
21150121501||||||
21150121602||||||
21150121701||||||
21150121801||||||
21150122001||||||
21150122002||||||
21150122003||||||
21150122004||||||
21150122201||||||
21150122301||||||
21150122501||||||
21150122502||||||
21150122503||||||
21150122601||||||
21150122701||||||
21150122801||||||
21150123001||||||
21150123101||||||
21150123401||||||
21150123601||||||
21150123701||||||
21150900201||||||
21150900202||||||
21150900301||||||
21150900601||||||
21150900602||||||
21150900802||||||
21150900901||||||
21150901001||||||
21150901101||||||
21150901201||||||
21150901301||||||
21150901401||||||
21150901402||||||
21150901601||||||
21150901702||||||
21150901801||||||
21150901901||||||
21150902101||||||
21150902201|0|0|0|0|0|0
21150902203||||||
21150902301||||||
21150902401||||||
21150902402||||||
21150902503||||||
21150902604||||||
21150200101||||||
21150200102||||||
21150200103||||||
21150200201||||||
21150200301||||||
21150200401||||||
21150200501||||||
21150200601||||||
21150200701||||||
21150200901||||||
21150201001||||||
21150201301||||||
21150201501||||||
21150201602||||||
21150201603||||||
21150201605||||||
21150201701||||||
21150201801||||||
21150202002||||||
21150202101||||||
21150202201||||||
21150202401||||||
21150202501||||||
21150203001||||||
21150203101||||||
21150203201||||||
21150203301||||||
21150203401||||||
21150203701||||||
21150203702||||||
21150204001||||||
21150204101||||||
21150204401||||||
21150204701||||||
21150205201||||||
21150205301||||||
21150205501||||||
21150205801||||||
21150205901||||||
21150206201||||||
21150206601||||||
21150206801||||||
21150207001||||||
21150207301||||||
21150207302||||||
21150207601||||||
21150207801||||||
21150207901||||||
21150208101||||||
21150208301||||||
21150208901||||||
21150209001||||||
21150209301||||||
21150209501||||||
21150209601||||||
21150209702||||||
21150209703||||||
21150209801||||||
21150210001||||||
21150210101||||||
21150210401||||||
21150210901||||||
21150211001||||||
21150211002||||||
21150211003||||||
21150211201||||||
21150211501||||||
21150211701||||||
21150211702||||||
21150211901||||||
21150212101||||||
21150212201||||||
21150212301||||||
21150212403||||||
21150212501||||||
21150212601||||||
21150212701||||||
21150212702||||||
21150212703||||||
21150212901||||||
21150213001||||||
21150213101||||||
21150213201||||||
21150213401||||||
21150213403||||||
21150214101||||||
21150214302||||||
21150214501||||||
21150214601||||||
21150214701||||||
21150215001||||||
21150215101||||||
21150215201||||||
21150215301||||||
21150215401||||||
21150216001||||||
21150216003||||||
21150216101||||||
21150216501||||||
21150216801||||||
21150217101||||||
21150217202||||||
21150217301||||||
21150217602||||||
21150217701||||||
21150218101||||||
21150218301||||||
21150218502||||||
21150218701||||||
21150219001||||||
21150219002||||||
21150219053||||||
21150219201||||||
21150219301||||||
21150219501||||||
21150219601||||||
21150219701||||||
21150220001||||||
21150220201||||||
21150220301||||||
21150220501||||||
21150220601||||||
21150220701||||||
21150220801||||||
21150220901||||||
21150221001||||||
21150221101||||||
21150221201||||||
21150221401||||||
21150221801||||||
21150222101||||||
21150222401||||||
21150222501||||||
21150222801||||||
21150222902||||||
21150223102||||||
21150223801||||||
21150223901||||||
21150223902||||||
21150223903||||||
21150224001||||||
21150224301||||||
21150224501||||||
21150224601||||||
21150224701||||||
21150224702||||||
21150225001||||||
21150225202||||||
21150225203||||||
21150225401||||||
21150225501||||||
21150225601||||||
21150225901||||||
21150226101||||||
21150226201||||||
21150226301||||||
21150226501||||||
21150226601||||||
21150226702||||||
21150226801||||||
21150227101||||||
21150227201||||||
21150227301||||||
21150227401||||||
21150227501||||||
21150227701||||||
21150227801||||||
21150227901||||||
21150227902||||||
21150227903||||||
21150228001||||||
21150228201||||||
21150228301||||||
21150228401||||||
21150228501||||||
21150228601||||||
21150228701||||||
21150228901||||||
21150229101||||||
21150229201||||||
21150229401||||||
21150229501||||||
21150229601||||||
21150229801||||||
21150229901||||||
21150230001||||||
21150230201||||||
21150230301||||||
21150230402||||||
21150230502||||||
21150230801||||||
21150231001||||||
21150231201||||||
21150231301||||||
21150231501||||||
21150231601||||||
21150231701||||||
21150231801||||||
21150231901||||||
21150232501||||||
21150232601||||||
21150232602||||||
21150232603||||||
21150232605||||||
21150232652||||||
21150232701||||||
21150232801||||||
21150233201||||||
21150233501||||||
21150233601||||||
21150234101||||||
21150234501||||||
21150234801||||||
21150234802||||||
21150234803||||||
21150234901||||||
21150235001||||||
21151000101||||||
21151000201||||||
21151000301||||||
21151000401||||||
21151000501||||||
21151000601||||||
21151000701||||||
21151000702||||||
21151000801||||||
21151001001||||||
21151001101|20|43|32|80|32|12
21151001102||||||
21151001201||||||
21150300101||||||
21150300102||||||
21150300103||||||
21150300201||||||
21150300202||||||
21150300203||||||
21150300401||||||
21150300501||||||
21150300601||||||
21150300707||||||
21150300902||||||
21150300903||||||
21150300904||||||
21150300905||||||
21150300906||||||
21150300907||||||
21150300972||||||
21150301301||||||
21150301401||||||
21150301402||||||
21150301403||||||
21150301501||||||
21150301502||||||
21150301503||||||
21150301701||||||
21150301801||||||
21150301901||||||
21150302101||||||
21150302301||||||
21150302401||||||
21150302501||||||
21150302502||||||
21150302901||||||
21150303101||||||
21150303102||||||
21150303103||||||
21150303201||||||
21150303301||||||
21150303401||||||
21150303501||||||
21150303602||||||
21150303701||||||
21150303703||||||
21150303901||||||
21150304001||||||
21150304101||||||
21150304102||||||
21150304105||||||
21150304106||||||
21150304201||||||
21150304301||||||
21150304401||||||
21150304501||||||
21150304601||||||
21150304701||||||
21150304702||||||
21150304703||||||
21150304801||||||
21150304901||||||
21150304902||||||
21150304903||||||
21150305001||||||
21150305201||||||
21150305202||||||
21150305203||||||
21150305204||||||
21150305501|20|48|12|85|10|20
21150305801||||||
21150305802|85|10|4|20|50|3
21150305803||||||
21150305804||||||
21150305805||||||
21150305901||||||
21150306001||||||
21150306102||||||
21150306201||||||
21150306202||||||
21150306203||||||
21150306204||||||
21150306301||||||
21150306402||||||
21150306403||||||
21150306501||||||
21150306601||||||
21150306701||||||
21150306901||||||
21150307002||||||
21150307003||||||
21150307005||||||
21150307101||||||
21150307201||||||
21150307301||||||
21150307305||||||
21150307306||||||
21150307401||||||
21150307501||||||
21150307601||||||
21150307602||||||
21150307603||||||
21150307604||||||
21150307701||||||
21150307801||||||
21150308001||||||
21150308101||||||
21150308201||||||
21150308302||||||
21150308303|85|10|4|20|50|36
21150308304|85|10|4|20|50|36
21150308305||||||
21150308501||||||
21150308502||||||
21150308503||||||
21150308506||||||
21150308601||||||
21150308801||||||
21150309001||||||
21150309102||||||
21150309103||||||
21150309201||||||
21150309401||||||
21150309701||||||
21150309702||||||
21150309703||||||
21150309704||||||
21150309801||||||
21150309903||||||
21150310001||||||
21150310101||||||
21150310102||||||
21150310201||||||
21150310301||||||
21150310302||||||
21150310401||||||
21150310403||||||
21150310603||||||
21150310701||||||
21150310901||||||
21150311001||||||
21150311002||||||
21150311004||||||
21150311301||||||
21150311401||||||
21150311502||||||
21150311801||||||
21150311901||||||
21150312101||||||
21150312401||||||
21150312402||||||
21150312601||||||
21150312801||||||
21150312902||||||
21150313001||||||
21150313002||||||
21150313102||||||
21150313302||||||
21150313802||||||
21150313901||||||
21150313902||||||
21150314301||||||
21150314302||||||
21150314501||||||
21150314502||||||
21150314503||||||
21150314504||||||
21150314552||||||
21150314701||||||
21150314801||||||
21150314901||||||
21150315302||||||
21150315303||||||
21150315304||||||
21150315305||||||
21150315306||||||
21150315308||||||
21150315601|85|10|4|20|50|26
21150315701||||||
21150315801||||||
21150316202||||||
21150316203||||||
21150316504||||||
21150400101||||||
21150400103||||||
21150400104||||||
21150400105||||||
21150400106||||||
21150400302||||||
21150400303||||||
21150400304||||||
21150400601||||||
21150400701||||||
21150400801||||||
21150400901||||||
21150401202||||||
