districtname,blockname,gpname,ssa_gpname,villagename,ssa_villagename,schoolname,schoolid,disecode,changesfound
BAGALKOT,BAGALKOT,SHIRUR (BGKT),SHIRUR,NEELANAGAR,NEELANAGAR,GOVT- HIGHER PRIMARY SCHOOL NEELANAGAR LT,39008,29020210102,Y
BAGALKOT,BILAGI,SIDDAPURA (BGKT),SIDDAPUR,SIDDAPUR LT,SIDDAPUR LT,GOVT- LOWER PRIMARY SCHOOL SIDDAPUR LT,39039,29020610801,Y
BAGALKOT,HUNAGUND,GORABAL,GORABAL,HERUR,HERUR,GOVT- KANNADA BOYS HIGHER PRIMARY SCHOOL HERUR,2462,29020706601,Y
BAGALKOT,HUNAGUND,HIREMALAGAVI,HIREMALAGAVI ,HIRE MALAGAVI,HIRE MALAGAVI,GOVT-KANNADA BOYS HIGHER PRIMARY SCHOOL HIRE MALAGAVI,39153,29020707301,Y
BAGALKOT,HUNAGUND,GORABAL,GORABAL,GORABAL,GORABAL,GOVT-KANNADA BOYS HIGHER PRIMARY SCHOOL GORABAL,2461,29020705501,Y
BAGALKOT,HUNAGUND,GORABAL,GORABAL,INGALGI,INGALGI,GOVT-KANNADA BOYS HIGHER PRIMARY SCHOOL INGALAGI,2466,29020708701,Y
BAGALKOT,HUNAGUND,GORABAL,GORABAL,GOPASANI,GOPASANI,GOVT-LOWER PRIMARY SCHOOL GOPASHANI,39185,29020705401,Y
BAGALKOT,HUNAGUND,HIREMALAGAVI,HIREMALAGAVI ,CHIKMALAGAVI,CHIKMALAGAVI,GOVT-KANNADA BOYS LOWER PRIMARY SCHOOL CHIKMALAGAVI,39151,29020703101,Y
BAGALKOT,HUNAGUND,GORABAL,GORABAL,TONDIHAL,TONDIHAL,GOVT-KANNADA BOYS HIGHER PRIMARY SCHOOL TONDIHAL,39190,29020714701,Y
BAGALKOT,MUDHOL,BARAGI (BGK),BARAGI,BIDARI,BIDARI,GOVT- HIGHER PRIMARY SCHOOL BIDARI,2915,29021100801,Y
BAGALKOT,MUDHOL,BARAGI (BGK),BARAGI,ANTAPUR,ANTAPUR,GOVT- URDU LOWER PRIMARY SCHOOL ANTAPUR,2912,29021100302,Y
BAGALKOT,MUDHOL,BARAGI (BGK),BARAGI,BIDARI,BIDARI,GOVT- LOWER PRIMARY SCHOOL JANATA PLOT BIDARI,2916,29021100803,Y
BAGALKOT,MUDHOL,BARAGI (BGK),BARAGI,VAJJARMATTI,VAJJARMATTI,"GOVT- LOWER PRIMARY SCHOOL MAVINAMADDI , BIDARI",2928,29021107402,Y
BALLARI,BALLARI EAST,SIDIGINAMOLA,URBAN,WARD 8,WARD 8,GTLPS SREERAMA NAGAR,4356,29120900704,Y
BALLARI,BALLARI WEST,KOLUR (B),KOLUR,KOLUR,KOLUR,GLPS ASHRAYA COLONY KOLUR,38489,29120105707,Y
BALLARI,BALLARI WEST,KOLUR (B),KOLUR,KOLUR,KOLUR,GULPS KOLUR,3154,29120105702,Y
BALLARI,BALLARI WEST,KOLUR (B),KOLUR,KOLUR,KOLUR,GHPS & GHS KOLUR,3153,29120105701,Y
BALLARI,HADAGALI,SOVENAHALLI (HDGLI),SOVENAHALLI,SOVENAHALLI,SOVENAHALLI,GLPS MUDLAPURA-HALE THANDA,3331,29120204503,Y
BALLARI,HADAGALI,K AYYANAHALLI,HAGARANOOR,H.T.PURA,H.T.PURA,GLPS SIVAPURA,3216,29120201403,Y
BALLARI,HADAGALI,SOVENAHALLI (HDGLI),SOVENAHALLI,SOVENAHALLI,SOVENAHALLI,GLPS MUDLAPURA-SANNA THANDA,3330,29120204502,Y
BALLARI,HADAGALI,SOVENAHALLI (HDGLI),SOVENAHALLI,SOVENAHALLI,SOVENAHALLI,GLPS SOVENAHALLI THANDA,3334,29120204506,Y
