districtname,blockname,gpname,ssa_gpname,villagename,ssa_villagename,schoolname,schoolid,disecode,Changes Found ( Y / N )
BELAGAVI,BELGAUM RURAL.,,AGASAGE,AGASAGE,AGASAGE,KANNADA HIGHER PRIMARY SCHOOL AGASAGE,39833,29010400101,Y
BELAGAVI,BELGAUM RURAL.,,HINDALGA,HINDALGA,HINDALGA,URDU HIGHER PRIMARY SCHOOL HINDALGA,39781,29010404604,Y
BELAGAVI,BELGAUM RURAL.,,HALGA,HALGA,HALGA,KANNADA HIGHER PRIMARY SCHOOL HALGA,39749,29010404001,Y
BELAGAVI,KHANAPUR,,NANDGAD,NANDGAD,NANDGAD,MARATHI HIGHER PRIMARY SCHOOL SANTMELGE,40205,29010815906,Y
BELAGAVI,KHANAPUR,,HALASHI,HALASHI,HALASHI,MARATHI LOWER PRIMARY SCHOOL HALSHIWADI,40057,29010807904,Y
BELAGAVI,RAMDURG,,K. JUNIPETH,KILLA TORGAL,KILLA TORGAL,KANNADA HIGHER PRIMARY SCHOOL KILLA TORGAL,40449,29011111002,Y
BELAGAVI CHIKKODI,ATHANI,,SANKONATTI,SANKONATTI,SANKONATTI,GOVT KANNADA HIGHER PRIMARY SCHOOL SANKONAHATTI,40953,29300109119,Y
BELAGAVI CHIKKODI,ATHANI,,ARALIHATTI,BAMMANAL,BAMMANAL,GOVT MARATHI LOWER PRIMARY SCHOOL ANAND NAGAR,40750,29300101202,Y
BELAGAVI CHIKKODI,NIPPANI,,KUNNUR,SHIVAPURWADI,SHIVAPURWADI,K.H.P.S. SHIVAPURWADI,42064,29300910401,Y
BELAGAVI CHIKKODI,RAIBAG,,CHINCHALI,CHINCHALI,CHINCHALI,GOVT KANNADA HIGHER PRIMARY GIRLS SCHOOL CHINCHALI,42242,29301001304,Y
BENGALURU RURAL,NELAMANGALA,,SRINIVASAPURA,KENCHANAHALLI,KENCHANAHALLI,G LPS KENCHANAHALLI,43107,29210117501,Y
BENGALURU RURAL,NELAMANGALA,,SOMPURA,THATTEKERE,THATTEKERE,G LPS THATTEKERE,43253,29210102801,Y
BENGALURU RURAL,NELAMANGALA,,MANNE,BEERAGONDANAHALLI,BEERAGONDANAHALLI,G LPS BEERAGONDANAHALLI,43277,29210101901,Y
BENGALURU U NORTH,NORTH1,,MACHO HALLI,MACHO HALLI,MACHO HALLI,GLPS VADDERA HALLI,32766,29280203910,Y
BENGALURU U NORTH,NORTH4,,RAJANUKUNTE,ADDIGANA HALLI,ADDIGANA HALLI,GLPS ADDIGANA HALLI,32773,29280704601,Y
BENGALURU U SOUTH,SOUTH2,,BANGALORE URBAN SOUTH,MUDALAPALYA W NO 127,MUDALAPALYA W NO 127,GOVT HIGHER PRIMARY SCHOOL MOODALAPALYA,33077,29200802603,Y
BENGALURU U SOUTH,SOUTH3,,BANAHATTI.,KORAMANGALA W NO 151,KORAMANGALA W NO 151,GOVT MODEL PRIMARY SCHOOL MADIWALA,32555,29200903859,Y
BENGALURU U SOUTH,SOUTH3,,BANAHATTI.,KORAMANGALA W NO 151,KORAMANGALA W NO 151,GOVT LOWER PRIMARY SCHOOL MESTRI PALYA,32269,29200903860,Y
BIDAR,BASAVAKALYAN,,NARAYANPUR,NARAYANPUR,NARAYANPUR,GOVT LPS NARAYANPUR THANDA,4864,29050212009,Y
BIDAR,BHALKI,,HALBARGA,HALBARGA,HALBARGA,GOVT LPS URDU HALBARGA,4921,29050304303,Y
BIDAR,BHALKI,,TMC BHALKI,BHALKI WARD NO.2,BHALKI WARD NO.2,GOVT HPS ASHOK NAGAR BHALKI,4905,29050316103,Y
BIDAR,BIDAR,,YADLAPUR,ZAMISTANPUR,ZAMISTANPUR,GOVT HPS (URDU) JAMISTANPUR,5324,29050412903,Y
CHAMARAJANAGARA,GUNDLUPET,,BERAMBADI,MADDUR,MADDUR,ASHRMA SHALE,115101,29270207802,Y
