question_id,content_id,content_type,question_title,
do_3122775966090690561422,do_31228112328675328021100,Subtraction,Subtraction,
do_3122776018663014401425,do_31228112328675328021100,Subtraction,Subtraction,
do_3122776142612643842898,do_31228112328675328021100,Division,Division 1.3,
do_3122804257275740161566,do_31228112328675328021100,Division,Division 2.4,
do_31223656226110668815458,do_31228112328675328021100,Identify Number,Identify the given numbers,
do_31223656094899404821639,do_31228112328675328021100,Identify Number,Identify the given numbers,
do_31223657234230476815460,do_31228112328675328021100,Identify Number,Identify the given numbers,
do_3122804353398210561572,do_31228112328675328021100,Addition,Add the following,
do_31228044608638156821046,do_31228112328675328021100,Multiplication,Multiplication 1.1,
do_31223658106146816021645,do_31228112328675328021100,Numerical Form,What is the numerical form of the following,
do_3122804547641835521591,do_31228112328675328021100,,IN MUL DIV 1.5,
do_31223726337445888021749,do_31228112328675328021100,Addition,addition sample1,
do_31223711448509644815498,do_31228112328675328021100,Regrouping with Money,Calculate the following money,
do_31223713323690393621696,do_31228112328675328021100,Addition,Add the following,
do_3122775937149173762881,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776035349381122888,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776137158901762896,do_31228116672723353621122,Division,Division 1.1,
do_31228042748427468821028,do_31228116672723353621122,Division,Division 2.5,
do_31223657234230476815460,do_31228116672723353621122,Identify Number,Identify the given numbers,
do_31223656226110668815458,do_31228116672723353621122,Identify Number,Identify the given numbers,
do_3122804353398210561572,do_31228116672723353621122,Addition,Add the following,
do_31228044608638156821046,do_31228116672723353621122,Multiplication,Multiplication 1.1,
do_31223658106146816021645,do_31228116672723353621122,Numerical Form,What is the numerical form of the following,
do_3122804547641835521591,do_31228116672723353621122,,IN MUL DIV 1.5,
do_31223726337445888021749,do_31228116672723353621122,Addition,addition sample1,
do_31223711448509644815498,do_31228116672723353621122,Regrouping with Money,Calculate the following money,
do_31223713323690393621696,do_31228116672723353621122,Addition,Add the following,
do_31223713720964710415505,do_31228116672723353621122,Addition,Add the following,
do_31223714468129177615509,do_31228116672723353621122,Addition,Add the following,
do_31223715003038924821706,do_31228116672723353621122,Addition,Add the following,
do_31223715366657228821708,do_31228116672723353621122,Addition,Add the following,
do_31223715992564531215515,do_31228116672723353621122,Addition,Add the following,
do_3122775959747952641421,do_31228112328675328021100,Subtraction,Subtraction,
do_3122776021121843202887,do_31228112328675328021100,Subtraction,Subtraction,
do_3122776167950008322901,do_31228112328675328021100,Division,Division 1.4,
do_3122804248565268481565,do_31228112328675328021100,Division,Division 2.3,
do_3122804377595904001576,do_31228112328675328021100,Addition,Add the following,
do_31228045411382067221053,do_31228112328675328021100,,IN MUL DIV 1.3,
do_3122776018663014401425,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776162977382401432,do_31228116672723353621122,Division,Division 1.5,
do_3122804239386050561564,do_31228116672723353621122,Division,Division 2.2,
do_3122804377595904001576,do_31228116672723353621122,Addition,Add the following,
do_31228045411382067221053,do_31228116672723353621122,,IN MUL DIV 1.3,
do_3122776012856360962886,do_31228112328675328021100,Subtraction,Subtraction,
do_31228042748427468821028,do_31228112328675328021100,Division,Division 2.5,
do_3122804367150284801575,do_31228112328675328021100,Addition,Add the following,
do_3122804521659678721589,do_31228112328675328021100,,IN MUL DIV 1.1,
do_3122775959747952641421,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776021121843202887,do_31228116672723353621122,Subtraction,Subtraction,
do_3122804248565268481565,do_31228116672723353621122,Division,Division 2.3,
do_31228043642364723221034,do_31228116672723353621122,Addition,Add the following,
do_3122775937149173762881,do_31228112328675328021100,Subtraction,Subtraction,
do_3122776035349381122888,do_31228112328675328021100,Subtraction,Subtraction,
do_3122804257275740161566,do_31228116672723353621122,Division,Division 2.4,
do_31228043710938316821036,do_31228116672723353621122,Addition,Add the following,
do_31228045324858163221052,do_31228116672723353621122,,IN MUL DIV 1.2,
do_3122776137158901762896,do_31228112328675328021100,Division,Division 1.1,
do_3122804239386050561564,do_31228112328675328021100,Division,Division 2.2,
do_3122775926427156481420,do_31228112328675328021100,Subtraction,Subtraction,
do_3122775981348208642882,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776126440980481431,do_31228116672723353621122,Division,Division 1.2,
do_3122804367150284801575,do_31228116672723353621122,Addition,Add the following,
do_3122804521659678721589,do_31228116672723353621122,,IN MUL DIV 1.1,
do_3122775926427156481420,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776012856360962886,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776167950008322901,do_31228116672723353621122,Division,Division 1.4,
do_3122775975935672321423,do_31228112328675328021100,Subtraction,Subtraction,
do_31228045498713702421055,do_31228112328675328021100,,IN MUL DIV 1.4,
do_3122775975935672321423,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776142612643842898,do_31228116672723353621122,Division,Division 1.3,
do_31228045498713702421055,do_31228116672723353621122,,IN MUL DIV 1.4,
do_3122776162977382401432,do_31228112328675328021100,Division,Division 1.5,
do_31228043710938316821036,do_31228112328675328021100,Addition,Add the following,
do_31228042501620531221026,do_31228116672723353621122,Division,Division 2.1,
do_31228045324858163221052,do_31228112328675328021100,,IN MUL DIV 1.2,
do_31228042501620531221026,do_31228112328675328021100,Division,Division 2.1,
do_3122775966090690561422,do_31228116672723353621122,Subtraction,Subtraction,
do_3122776126440980481431,do_31228112328675328021100,Division,Division 1.2,
do_31228043642364723221034,do_31228112328675328021100,Addition,Add the following,
do_3122775981348208642882,do_31228112328675328021100,Subtraction,Subtraction,
