district_id|district|block_id|block
11042|angul|11072|angul
11042|angul|11073|angul mpl
11042|angul|11074|athamallik
11042|angul|11075|athamallik nac
11042|angul|11076|banarpal
11042|angul|11077|chhendipada
11042|angul|11078|kaniha
11042|angul|11079|kishorenagar
11042|angul|11080|pallahara
11042|angul|11081|talcher
11042|angul|11082|talcher mpl
11043|balasore|11083|bahanaga
11043|balasore|11084|balasore mpl
11043|balasore|11085|baliapal
11043|balasore|11086|basta
11043|balasore|11087|bhogarai
11043|balasore|11088|jaleswar
11043|balasore|11089|jaleswar nac
11043|balasore|11090|khaira
11043|balasore|11091|nilgiri
11043|balasore|11092|nilgiri nac
11043|balasore|11093|oupada
11043|balasore|11094|remuna
11043|balasore|11095|sadar
11043|balasore|11096|simulia
11043|balasore|11097|soro
11043|balasore|11098|soro nac
11044|bargarh|11099|ambabhona
11044|bargarh|11100|attabira
11044|bargarh|11101|bargarh
11044|bargarh|11102|bargarh mpl
11044|bargarh|11103|barpali
11044|bargarh|11104|barpali nac
11044|bargarh|11105|bhatali
11044|bargarh|11106|bheden
11044|bargarh|11107|bijepur
11044|bargarh|11108|gaisilet
11044|bargarh|11109|jharbandh
11044|bargarh|11110|padampur nac
11044|bargarh|11111|paikmal
11044|bargarh|11112|rajborasambar
11044|bargarh|11113|sohella
11045|bhadrak|11114|basudevpur
11045|bhadrak|11115|basudevpur mpl
11045|bhadrak|11116|bhadrak
11045|bhadrak|11117|bhadrak mpl
11045|bhadrak|11118|bhandaripokhari
11045|bhadrak|11119|bonth
11045|bhadrak|11120|chandabali
11045|bhadrak|11121|dhamnagar
11045|bhadrak|11122|tihidi
11046|bolangir|11123|agalpur
11046|bolangir|11124|balangir
11046|bolangir|11125|balangir mpl
11046|bolangir|11126|bangomunda
11046|bolangir|11127|belpada
11046|bolangir|11128|deogaon
11046|bolangir|11129|gudvela
11046|bolangir|11130|kantabanji nac
11046|bolangir|11131|khaprakhol
11046|bolangir|11132|loisingha
11046|bolangir|11133|muribahal
11046|bolangir|11134|patnagarh
11046|bolangir|11135|patnagarh nac
11046|bolangir|11136|puintala
11046|bolangir|11137|saintala
11046|bolangir|11138|titilagarh
11046|bolangir|11139|titilagarh nac
11046|bolangir|11140|turekela
11047|boudh|11141|boudh
11047|boudh|11142|boudh nac
11047|boudh|11143|harabhanga
11047|boudh|11144|kantamal
11048|cuttack|11145|arc charbatia
11048|cuttack|11146|athagarh nac
11048|cuttack|11147|athgarh
11048|cuttack|11148|banki
11048|cuttack|11149|banki nac
11048|cuttack|11150|baramba
11048|cuttack|11151|baranga
11048|cuttack|11152|choudwar mpl
11048|cuttack|11153|cuttack mc
11048|cuttack|11154|cuttack sadar
11048|cuttack|11155|dompara
11048|cuttack|11156|kantapara
11048|cuttack|11157|mahanga
11048|cuttack|11158|narsinghpur
11048|cuttack|11159|niali
11048|cuttack|11160|nischintakoili
11048|cuttack|11161|salipur
11048|cuttack|11162|tangi
11048|cuttack|11163|tigiria
11049|deogarh|11164|barkote
11049|deogarh|11165|deogarh mpl
11049|deogarh|11166|reamal
11049|deogarh|11167|tileibani
11050|dhenkanal|11168|bhuban
11050|dhenkanal|11169|bhuban nac
11050|dhenkanal|11170|dhenkanal mpl
11050|dhenkanal|11171|dhenkanal sadar
11050|dhenkanal|11172|gondia
11050|dhenkanal|11173|hindol
11050|dhenkanal|11174|hindol nac
11050|dhenkanal|11175|kamakhyanagar
11050|dhenkanal|11176|kamakhyanagar nac
11050|dhenkanal|11177|kankadahad
11050|dhenkanal|11178|odapada
11050|dhenkanal|11179|parjang
11051|gajapati|11180|gosani
11051|gajapati|11181|gumma
11051|gajapati|11182|kashinagar
11051|gajapati|11183|kashinagar(nac)
11051|gajapati|11184|mohana
11051|gajapati|11185|nuagada
11051|gajapati|11186|paralakhemundi (mpl)
11051|gajapati|11187|r udayagiri
11051|gajapati|11188|rayagada
11052|ganjam|11189|aska
11052|ganjam|11190|aska nac
11052|ganjam|11191|beguniapada
11052|ganjam|11192|bellaguntha
11052|ganjam|11193|bellaguntha nac
11052|ganjam|11194|berhampur mpl
11052|ganjam|11195|bhanjanagar
11052|ganjam|11196|bhanjanagar nac
11052|ganjam|11197|buguda
11052|ganjam|11198|buguda nac
11052|ganjam|11199|chatrapur
11052|ganjam|11200|chatrapur nac
11052|ganjam|11201|chikiti
11052|ganjam|11202|chikiti nac
11052|ganjam|11203|dharakote
11052|ganjam|11204|digapahandi
11052|ganjam|11205|digapahandi nac
11052|ganjam|11206|ganjam
11052|ganjam|11207|ganjam nac
11052|ganjam|11208|gopalapur nac
11052|ganjam|11209|hinjilicut
11052|ganjam|11210|hinjilicut nac
11052|ganjam|11211|jaganathprasad
11052|ganjam|11212|kabisuryanagar
11052|ganjam|11213|kabisuryanagar nac
11052|ganjam|11214|khallikote
11052|ganjam|11215|khallikote nac
11052|ganjam|11216|kodala nac
11052|ganjam|11217|kukudakhandi
