gp_id,gp_name,gp_lang_name
6146,Yenkur,ಎಂಕುರೂ 
6111,Yarbag,ಯರಬಾಗ್
6109,Yarandagi,ಯಾರಂಡಗಿ
6108,Yaranalli,ಯರನಹಳ್ಳಿ 
6051,Yadlapur,ಯದಲಾಪೂರ
6032,Warwatti ,ವಾರ್ವಾಟ್ಟಿ 
6014,Wadgaon ,ವಡಗಾಂವ್‌ (ಡಿ)
5855,Udamnalli,ಉದಮ್ನಳ್ಳಿ
5791,Toglur,ತೋಗಲೂರ
5627,Talwad ,ತಳವಾಡ (ಕೆ)
5601,Tadola,ತಡೋಳಾ
5546,Sundhal,ಸುಂದಾಳ
5539,Sultanabad,ಸುಲ್ತಾನಾಬಾದ
5502,Srimandal,ಶ್ರೀಮಂಡಲ
5469,Sonal,ಸೋನಾಳಾ
5440,Sirsi (A),ಸಿರ್ಸಿ (ಎ)
5418,Sindol,ಸಿಂದೋಲ
5414,Sindhankera,ಸಿಂಧನಕೇರಾ
5403,Siddeshwar,ಸಿದ್ದೇಶ್ವರ
5382,Shivani,ಶಿವನಿ
5320,Shembelli,ಶೆಂಬೆಳ್ಳಿ
5284,Sedol,ಸೆಡೋಳಾ
5255,Sastapur,ಸಸ್ತಾಪೂರ
5231,Santhpur,ಸಂತಪೂರ
5205,Sangolgi,ಸಂಗೋಳಗಿ
5155,Saigaon,ಸಾಯಗಾಂವ್‌
5059,Rajeshwar,ರಾಜೇಶ್ವರ
4962,Paratapur,ಪರತಾಪೂರ
4875,Nittur (B),ನಿಟ್ಟೂರ (ಬಿ)
6525,Nirgudi,ನಿರಗುಡಿ
4747,Narayanpur,ನಾರಾಯಣಪೂರ
4678,Nagora,ನಾಗೂರ
4672,Nagmarpalli,ನಾಗಮಾರಪಳ್ಳಿ
4583,Mustari,ಮುಸ್ತಾರಿ
4574,Murki,ಮುರ್ಕಿ
4507,Mudhol (B),ಮುಧೋಳ ಬಿ 
4482,Muchalam,ಮುಚಳಂ
4475,Morkhandi,ಮೋರಖಂಡಿ
4472,Morambi,ಮೊರಂಬಿ
4433,Methimelkunda,ಮೇಥಿಮೇಳಕುಂದಾ
4403,Mehakar,ಮೇಹಕರ
4327,Markunda,ಮರಕುಂದಾ
4323,Markhal,ಮರಕಲ
4275,Manthal,ಮಂಠಾಳಾ
4228,Mandaknalli,ಮಂದಕನಳ್ಳಿ
4180,Malkapur,ಮಲ್ಕಾಪೂರ
4169,Malchapur,ಮಾಳಚಾಪೂರ
4108,Madkatti,ಮದಕಟ್ಟಿ
3990,Lakhangaon,ಲಖನಗಾಂವ್‌
3984,Ladha,ಲಾಧಾ
2475,Harkood,ಹರ್ಕೂಡ
3956,Kushnoor ,ಕುಶನೂರ್ 
3939,Kurubakhelagi,ಕುರುಬಖೇಳಗಿ
3814,Koutha ,ಕೌಠಾ (ಬಿ)
3785,Kosam,ಕೋಸಮ
3777,Korekal,ಕೋರೆಕಲ
3750,Konmelkunda,ಕೋಣಮೇಳಕುಂದಾ
3695,Kolar (K),ಕೋಲಾರ ಕೆ 
3680,Kohinoor,ಕೋಹಿನೂರ
3629,Kitta,ಕಿಟ್ಟಾ
3597,Kherda b,ಖೇರ್ಡಾ (ಬಿ.)
3595,Khed,ಖೇಡ
3411,Kaplapur (A),ಕಾಪಲಾಪೂರ (ಎ)
3337,Kanaji,ಕಣಜಿ
3329,Kamthana,ಕಮಠಾಣಾ
3306,Kamalnagar,ಕಮಲನಗರ
3263,Kalkhora,ಕಲಕೋರಾ
3198,Kadwad,ಕಾಡವಾದ
3085,Jojana,ಜೋಜನಾ
3050,Janwada,ಜನವಾಡಾ
2725,Holsamudra,ಹೊಳಸಮುದ್ರ
2549,Hedgapur,ಹೆಡಗಾಪೂರ
2332,Halbarga,ಹಲ್ಬರ್ಗಾ
2249,Gundur,ಗುಂಡೂರ
2212,Gudpalli,ಗುಡಪಳ್ಳಿ
2154,Gorchincholi,ಗೋರಚಿಂಚೋಳಿ
2016,Gadgi,ಗಾದಗಿ
1979,Ekloora,ಎಕ್ಲುರ 
1978,Eklara,ಎಕಲಾರಾ
1848,Diggi,ಡಿಗ್ಗಿ
1841,Dhupathmahagaon,ಧೂಪತಮಹಾಗಾಂವ್‌
1825,Dhanura k,ಧನ್ನೂರಾ
1755,Dawargaon,ಡಾವರಗಾಂವ್‌
1718,Dadagi,ದಾಡಗಿ
1661,Chitta,ಚಿಟ್ಟಾ
1651,Chintaki,ಚಿಂತಾಕಿ
1625,Chilargi,ಚಿಲ್ಲರ್ಗಿ
1618,Chikli (J),ಚಿಕಲಿ (ಜೆ)
1557,Chikanagaon,ಚಿಕ್ಕನಾಗಾಂವ
1522,Chatnalli,ಚಟ್ನಳ್ಳಿ
1492,Chandikapur,ಚಂಡಕಾಪೂರ
1486,Chandanhalli,ಚಂದನಹಳ್ಳಿ
1480,Chambol,ಚಾಂಬೋಳ
1300,Bhosaga,ಭೋಸಗಾ
1277,Bhatambra,ಭಾತಂಬ್ರಾ
1235,Betbalkunda,ಬೆಟಬಾಲಕುಂದಾ
1219,Benchincholi,ಬೇನಚಿಂಚೋಳಿ
6453,Belur,ಬೇಲೂರ
1186,Belkuni ,ಬೆಳಕುಣಿ (ಚೌ)
1184,Belkera,ಬೆಳಕೇರಾ
1128,Beeri ,ಬೀರಿ (ಕೆ)
921,Bagdal,ಬಗದಲ
904,Badalgaon,ಬಾದಲಗಾಂವ್‌
820,Astoor,ಅಷ್ಟೂರ
706,Andoor,ಆನೂರ
661,Amlapur,ಅಮಲಾಪೂರ
653,Ambesangavi,ಅಂಬೆಸಾಂಗವಿ
616,Aliamber,ಅಲಿಯಂಬರ
5060,Rajola,ರಾಜೋಳಾ
