gp_id,gp_name,gp_lang_name
523,Addagal,ಅಡ್ಡಗಲ್
534,Agalagurki,ಅಗಲಗುರ್ಕಿ
714,Angarekanahalli,ಅಂಗರೇಕನ ಹಳ್ಳಿ
743,Anugondanahalli,ಅನುಗೊಂಡಹಳ್ಳಿ
810,Aruru,ಕರೂರು
846,Avalagurki,ಅವಲಗುರ್ಕಿ 
994,Balur,ಬಾಳೂರ
1324,Bidnal,ಬಿಡನಾಳ
1824,Dhannura ,ಧನ್ನೂರಾ (ಕೆ)
1842,Dibbur,ದಿಬ್ಬೂರು
1873,Dodda pyayalagurki,ದೊಡ್ಡ ಪೈಲಗುರ್ಕಿ 
1940,Dongapur,ಡೋಣಗಾಪೂರ
2124,Gollahalli,ಗೊಲ್ಲಹಳ್ಳಿ
2361,Hallikhed ,ಹಳ್ಳಿಖೇಡ (ಕೆ)
2372,Hammigi,ಹಂಮ್ಮಿಗಿ
2481,Harobande,ಹಾರೋಬಂಡೆ
2787,Hosahudya,ಹೊಸಹುಡ್ಯ
2942,Inchur,ಇಂಚೂರ
3097,Jyanthi,ಜಾಂತಿ
3265,Kalkunte agrahara,ಕಲ್ಕುಂಟೆಅಗ್ರಹಾರ
3323,Kammagattahalli,ಕಮ್ಮಗುಟ್ಟಹಳ್ಳಿ
3594,Khatakchincholi,ಖಟಕಚಿಂಚೋಳಿ
3743,Kondenahalli,ಕೊಂಡೇನ ಹಳ್ಳಿ
3911,Kuppahalli,ಕುಪ್ಪ ಹಳ್ಳಿ
3996,Lakkondahalli,ಲಕ್ಕೊಂಡಹಳ್ಳಿ
4116,Magadi,ಮಾಗಡಿ
4220,Manchanabele,ಮಂಚೆನಬೆಲೆ
4233,Mandikal,ಮಂಡಿಕಲ್‌
4590,Muthsandra,ಮುತ್ಸಂದ್ರ
4712,Nandi,ನಂದಿ 
4871,Nitre,ನಿಟ್ರೆ
4972,Patrenahalli,ಪಟ್ರೇನಹಳ್ಳಿ
4991,Peresandra,ಪೆರೇಸಂದ್ರ
5009,Poshettihali,ಪೋಶೆಟ್ಟಿಹಳ್ಳಿ 
5442,Sitalgera,ಸಿತಾಳಗೇರಾ
6218,Shivajinagar,ಶಿವಾಜಿನಗರ
6379,Ajjavara,ಅಜ್ಜಾವರ
