 STATUS in DB,District Name,Block Code,Block Name,Cluster Name,School Code,School Name,School Management Name,School Category Code,School Area,Mobile Number,Mobile,School Medium,Primary Working,Total  kits
IN DISE but not ILP Table,VIJAYAPURA,290313,CHADACHAN,NANDARAGI,29031303803,GOVT LPS ZALAKI VASTI GUNDAWAN,Department of Education,Primary,Rural,,,Kannada,2,1
IN DISE but not ILP Table,KOLAR,291912,SRINIVASAPUR,PULUGOORKOTE,29191234901,GLPS DASARLAPALLI,Department of Education,Primary,Rural,7676192600,,Kannada,1,1
IN DISE but not ILP Table,MYSURU,292608,MYSORE RURAL,HANCHYA,29260806701,GOVERNMENT HIGHER PRIMARY SCHOOL RAMMANA HALLI,Department of Education,Primary with Upper Primary,Rural,9449511795,,Kannada,16,3
IN DISE but not ILP Table,BAGALKOT,290202,BAGALKOT,MUGALOLLI,29020206106,GLPS  MUGOLLALLI LT 2,Department of Education,Primary,Rural,9901465022,,Kannada,2,1
IN DISE but not ILP Table,MYSURU,292611,T.N.PURA,SOSALE,29261115802,GOVERNMENT GLPS URDU ,Department of Education,Primary,Rural,9980613929,9986859396,Urdu,2,1
IN DISE but not ILP Table,VIJAYAPURA,290303,BASAVAN BAGEWADI,BASAVANA BAGEWADI,29030325002,GOVT LPS BAGEWADI LT NO. 6,Department of Education,Primary,Urban,9900918078,,Kannada,2,1
IN DISE but not ILP Table,CHIKKAMAGALURU,291705,KADUR,KERESANTHE,29170522002,GLPS BANANAHALLI,Department of Education,Primary,Rural,9164575660,9449496329,Kannada,1,1
IN DISE but not ILP Table,VIJAYAPURA,290313,CHADACHAN,LONI,29031303524,GOVT LPS SIDDESHWAR ASHRAM LONI BK,Department of Education,Primary,Rural,9900581585,,Kannada,1,1
IN DISE but not ILP Table,MYSURU,292606,KRISHNARAJANAGARA,TANDRE,29260623601,GLPS  SENABINAKUPPE,Department of Education,Primary,Rural,9731021262,9731021262,Kannada,2,1
IN DISE but not ILP Table,VIJAYAPURA,290313,CHADACHAN,HADALASANG,29031301803,GOVT LPS SAVALYAL VASTI SATALAGOAN PB,Department of Education,Primary,Rural,,,Kannada,2,1
IN DISE but not ILP Table,BELAGAVI,290103,BELGAUM CITY,SADASHIV NAGAR,29010304009,GOVERNMENT KANNDA LOWER PRIMARY SCHOOL SARTHI NAGAR BELAGAVI,Department of Education,Primary,Urban,9663773465,9663773465,Kannada,0,1
IN DISE but not ILP Table,KOLAR,291912,SRINIVASAPUR,J THIMMASANDRA,29191242901,GLPS J.THOOPALLI,Department of Education,Primary,Rural,,9448552200,Kannada,1,1
IN DISE but not ILP Table,CHIKKAMAGALURU,291705,KADUR,BISALERE,29170518403,GLPS GEDLEHALLI,Department of Education,Primary,Rural,9686555949,,Kannada,2,1
IN DISE but not ILP Table,DAVANAGERE,291405,HONNALI,URDU HONNALI-2,29140506706,GLPS(URDU)-HOSAHALLI CAMP 2,Department of Education,Primary,Rural,,9739745107,Urdu,2,1
IN DISE but not ILP Table,BELAGAVI CHIKKODI,293007,HUKKERI,H-MASTIHOLI,29300707301,K.L.P.S.  NAGANUR K.D.,Department of Education,Primary,Rural,8139905847,,Kannada,1,1
